(word -> error) | yaSucced: *word* | spellerFail: *spellerSuggest*
(многоразовая двусторонняя крепежная лента двухсторонний скотч прозрачный -> многорвзрвая двумтлронняя крнпежнач оннта двухмторонгий скрьч прлзрачныц) | yaSucced: многоразовая двусторонняя крепежная лента двухсторонний скотч прозрачный | spellerFail: многоразвая двуторонняя крепежный онэта двухсторонний скотч прозрачный
(кухонные весы -> уухогные вечы) | yaSucced: кухонные весы | spellerFail: кухоные весы
(кухонные весы -> кцхоеные вечы) | yaSucced: кухонные весы | spellerFail: кухоные весы
(кухонные весы -> уухонгые внсы) | yaSucced: кухонные весы | spellerFail: кухоные весы
(ушки -> ушкт) | yaSucced: ушки | spellerFail: ушко
(ушки -> ушкм) | yaSucced: ушки | spellerFail: ушко
(ушки -> цшки) | yaSucced: ушки | spellerFail: ншки
(парковка -> рапковка) | yaSucced: парковка | spellerFail: упаковка
(губка для тела -> гкбуа длф телв) | yaSucced: губка для тела | spellerFail: губка длф тело
(скребок для чистки стеклокерамики -> скркбое ддя чмстуи сткклокерамиеи) | yaSucced: скребок для чистки стеклокерамики | spellerFail: скребок для чмстки стеклокерамика
(коврик для йоги -> клвоик жля цоги) | yaSucced: коврик для йоги | spellerFail: класик для роги
(расческа для животных -> оасчнска длч живрьных) | yaSucced: расческа для животных | spellerFail: расческа длч живоных
(бокалы жених и невеста -> блуалы энних и еевкста) | yaSucced: бокалы жених и невеста | spellerFail: блуа энни и невеста
(жидкое мыло -> дидкок мыдо) | yaSucced: жидкое мыло | spellerFail: жидко мыло
(жидкое мыло -> жидеок мыоо) | yaSucced: жидкое мыло | spellerFail: жидко мыло
(погремушки -> погркмцшки) | yaSucced: погремушки | spellerFail: погркмушка
(погремушки -> погремкшуи) | yaSucced: погремушки | spellerFail: погремешки
(погремушки -> плгремущки) | yaSucced: погремушки | spellerFail: погремушка
(погремушки -> погпеиушки) | yaSucced: погремушки | spellerFail: погремушка
(погремушки -> погоемушуи) | yaSucced: погремушки | spellerFail: погремушка
(крем для ног -> креи длф еог) | yaSucced: крем для ног | spellerFail: креи длф йог
(кошелек с фианитами -> еошклек с фтанииами) | yaSucced: кошелек с фианитами | spellerFail: кошелек с финитами
(беспроводные наушники -> бесаровожные наушнием) | yaSucced: беспроводные наушники | spellerFail: беспроводный наушник
(беспроводные наушники -> беспрлводнын наушнмеи) | yaSucced: беспроводные наушники | spellerFail: беспроводный наушнки
(беспроводные наушники -> бемароводные еаушникт) | yaSucced: беспроводные наушники | spellerFail: бепроводные наушник
(гель лак -> геоь лау) | yaSucced: гель лак | spellerFail: гель лау
(гель лак -> шель лау) | yaSucced: гель лак | spellerFail: гель лау
(гель лак -> гелт лвк) | yaSucced: гель лак | spellerFail: гелт лвк
(гель лак -> гедь оак) | yaSucced: гель лак | spellerFail: гедь лак
(конструктор -> крнсьруктор) | yaSucced: конструктор | spellerFail: крнструктор
(набор инструментов -> нвюор инстрксентов) | yaSucced: набор инструментов | spellerFail: нвбор инстрементов
(набор инструментов -> нвбоо мнструментоы) | yaSucced: набор инструментов | spellerFail: нвбор инструменто
(набор инструментов -> еабрр инсирументоа) | yaSucced: набор инструментов | spellerFail: набор инструменто
(машинки -> иашинкм) | yaSucced: машинки | spellerFail: машинкм
(набор кукол -> набло еуклл) | yaSucced: набор кукол | spellerFail: набло кукла
(разветвитель авто -> развеивиьель авио) | yaSucced: разветвитель авто | spellerFail: разветвитель авио
(зубные щетки -> зубгын щеикм) | yaSucced: зубные щетки | spellerFail: зубн щетка
(мыло косметическое -> сыло комметичесеое) | yaSucced: мыло косметическое | spellerFail: мыло коетическое
(мыло косметическое -> иыло кочметичечкое) | yaSucced: мыло косметическое | spellerFail: мыло коетическое
(мыло косметическое -> мылр косиетичкское) | yaSucced: мыло косметическое | spellerFail: мыло косметичекское
(мыло косметическое -> мыоо еосметияеское) | yaSucced: мыло косметическое | spellerFail: мыло косметиеское
(мыло косметическое -> мвло уосметияеское) | yaSucced: мыло косметическое | spellerFail: мыло косметиеское
(коврики -> уоврмки) | yaSucced: коврики | spellerFail: коврки
(коврики -> клвриеи) | yaSucced: коврики | spellerFail: кларити
(профиль -> роофиль) | yaSucced: профиль | spellerFail: рофиль
(скатерть новогодняя из габардина -> суатертб еовргодняя из гвбпрдина) | yaSucced: скатерть новогодняя из габардина | spellerFail: скатерть новгодняя из габардин
(ортопедический корректор осанки -> рртопедическмй уопректор лсанеи) | yaSucced: ортопедический корректор осанки | spellerFail: ортопедический корректор санки
(ткань подкладочная х м -> ьканб родкладояная х м) | yaSucced: ткань подкладочная х м | spellerFail: ткань родкладояная х м
(ткань подкладочная х -> ьканб прдклпдочная х) | yaSucced: ткань подкладочная х | spellerFail: ткань прдклпдочная х
(ткань подкладочная х -> теант подклажрчная х) | yaSucced: ткань подкладочная х | spellerFail: тент подарчная х
(ткань подкладочная х -> тквеь подкладочнпф х) | yaSucced: ткань подкладочная х | spellerFail: ткань подкладочный х
(нитритная соль -> ниьритнвя срль) | yaSucced: нитритная соль | spellerFail: нитритный соль
(нитритная соль -> емтритная солб) | yaSucced: нитритная соль | spellerFail: метражная соль
(нитритная соль -> нитриинаф сооь) | yaSucced: нитритная соль | spellerFail: нитритный соль
(маска косметическая -> мвсеа еосметическвя) | yaSucced: маска косметическая | spellerFail: маска косметическия
(медицинская хирургическая -> мелмцинская хируршичесеая) | yaSucced: медицинская хирургическая | spellerFail: медецинская хируршичесеая
(медицинская хирургическая -> медицинчкпя хирургмческвя) | yaSucced: медицинская хирургическая | spellerFail: медицинкая хирургический
(медицинская хирургическая -> медицигсквя хирургияесеая) | yaSucced: медицинская хирургическая | spellerFail: медицинский хирургияесеая
(медицинская хирургическая -> медициесквя хирургичечеая) | yaSucced: медицинская хирургическая | spellerFail: медицинский хирургичечеая
(медицинская хирургическая -> мндицинсеая хмрургичесуая) | yaSucced: медицинская хирургическая | spellerFail: медецинская хмрургичесуая
(новогодний набор -> ноаоглдний нвьор) | yaSucced: новогодний набор | spellerFail: новогодний нвбор
(салфетка для авто -> салфнткв ддя авио) | yaSucced: салфетка для авто | spellerFail: салфетка для авио
(салфетка для авто -> сплфеька длф пвто) | yaSucced: салфетка для авто | spellerFail: салфетка длф авто
(часы электронные -> часф электррнгые) | yaSucced: часы электронные | spellerFail: час электроные
(часы электронные -> чамы электрогнве) | yaSucced: часы электронные | spellerFail: чамы электроные
(часы электронные -> чвсы элеетроеные) | yaSucced: часы электронные | spellerFail: чвсы электроные
(часы электронные -> чпсы жлектроннве) | yaSucced: часы электронные | spellerFail: чупсы электронный
(веревка джутовая мм длина м -> вернака джуьоввя мм длиеп м) | yaSucced: веревка джутовая мм длина м | spellerFail: веревка джутовый мм длина м
(подгузник для новорожденных -> прдгузнтк длч новорожденевх) | yaSucced: подгузник для новорожденных | spellerFail: подгузник длч новорожденых
(подгузник для новорожденных -> подгущние ддя новорржженных) | yaSucced: подгузник для новорожденных | spellerFail: подгузник для новоржденных
(гель -> гелт) | yaSucced: гель | spellerFail: гелт
(гель -> гедь) | yaSucced: гель | spellerFail: гедь
(игровые наборы -> игррыые наюорф) | yaSucced: игровые наборы | spellerFail: игривый набор
(мука рисовая -> мукв ртсоаая) | yaSucced: мука рисовая | spellerFail: мука русская
(мука рисовая -> мукп рмсоыая) | yaSucced: мука рисовая | spellerFail: мука русская
(набор для творчества юный художник -> наюлр длф твррчкства юеый художнту) | yaSucced: набор для творчества юный художник | spellerFail: набор длф творчства юный художник
(нож с -> ноэ с) | yaSucced: нож с | spellerFail: ноэ с
(нож с -> ноэ с) | yaSucced: нож с | spellerFail: ноэ с
(подставка для электроники -> подмиавка длч электолники) | yaSucced: подставка для электроники | spellerFail: подставка длч электроник
(подставка для электроники -> аодстаыка жля элнутроники) | yaSucced: подставка для электроники | spellerFail: подставка для электроник
(подставка для электроники -> подстпака лля элеетпоники) | yaSucced: подставка для электроники | spellerFail: подстаака для электроник
(подставка для электроники -> родстпвка жля электроеикм) | yaSucced: подставка для электроники | spellerFail: подставка для электроник
(отпариватель -> отпармввтель) | yaSucced: отпариватель | spellerFail: отпариввтель
(электронная книга -> жлектронгая кемга) | yaSucced: электронная книга | spellerFail: электроная семга
(электронная книга -> элекьрлнная кемга) | yaSucced: электронная книга | spellerFail: электроная семга
(тени -> тееи) | yaSucced: тени | spellerFail: тези
(тени -> тееи) | yaSucced: тени | spellerFail: тези
(тени -> ьени) | yaSucced: тени | spellerFail: рени
(фотоальбом на фото см в коробке см -> фотлалббом на фотр см в коррбуе см) | yaSucced: фотоальбом на фото см в коробке см | spellerFail: фотоальбом на фото см в корбке см
(фотоальбом на фото см в коробке см -> фотоаоьблм на флто см в крробее см) | yaSucced: фотоальбом на фото см в коробке см | spellerFail: фотоальбом на фото см в кэробе см
(набор бокалов -> набро юлкалов) | yaSucced: набор бокалов | spellerFail: набро чкалов
(набор бокалов -> наьрр блкалоы) | yaSucced: набор бокалов | spellerFail: наьор бокал
(блокнот для творчества -> блркноь лля таорчемтва) | yaSucced: блокнот для творчества | spellerFail: блокнот для творчетва
(блокнот для творчества -> блокнри длф творчкмтва) | yaSucced: блокнот для творчества | spellerFail: блокнот длф творчетва
(блокнот для творчества -> бллкеот ддя творсествп) | yaSucced: блокнот для творчества | spellerFail: блокнот для творчество
(каша -> уаша) | yaSucced: каша | spellerFail: маша
(набор бит -> наюлр бмт) | yaSucced: набор бит | spellerFail: набор бат
(набор бит -> нпбоо биь) | yaSucced: набор бит | spellerFail: нпбор био
(набор бит -> наьлр биь) | yaSucced: набор бит | spellerFail: наьор био
(формочки -> формлчкм) | yaSucced: формочки | spellerFail: формочка
(вода питьевая -> водп питькыая) | yaSucced: вода питьевая | spellerFail: вод питьвеая
(вода питьевая -> вожа питьеаач) | yaSucced: вода питьевая | spellerFail: вожа питьевой
(вода питьевая -> аода пттьеввя) | yaSucced: вода питьевая | spellerFail: вода питьевой
(женские шорты -> жннсеие шоотф) | yaSucced: женские шорты | spellerFail: жкнские шорты
(салфетки протирочные -> сплфнтки рротирочнык) | yaSucced: салфетки протирочные | spellerFail: салфатки протирочный
(салфетки протирочные -> салфеькм ппотирояные) | yaSucced: салфетки протирочные | spellerFail: салфетка протирочный
(салфетки протирочные -> салфкьки проттрочнык) | yaSucced: салфетки протирочные | spellerFail: салфтки протирочный
(швабра с отжимом -> шыпбра с отжтмои) | yaSucced: швабра с отжимом | spellerFail: швабра с отжим
(отделитель косточек -> отледитель клсьочек) | yaSucced: отделитель косточек | spellerFail: охладитель кусочек
(отделитель косточек -> отдклителб крсьочек) | yaSucced: отделитель косточек | spellerFail: отделитель кусочек
(подушка для новорожденных -> плдушуа длч новорождегныъ) | yaSucced: подушка для новорожденных | spellerFail: подушка длч новорожденный
(подушка для новорожденных -> прдушуа ддя новорожженнвх) | yaSucced: подушка для новорожденных | spellerFail: пердушка для новорожденный
(блокнот для девочек -> бллкноь длф деылчек) | yaSucced: блокнот для девочек | spellerFail: блокнот длф денечек
(комплект для новорожденных -> комрлнкт длч новлрожденнфх) | yaSucced: комплект для новорожденных | spellerFail: комплнкт длч новрожденных
(комплект для новорожденных -> еоиплект лля новрпожденных) | yaSucced: комплект для новорожденных | spellerFail: коиплект для новрожденных
(комплект для новорожденных -> клмплккт длч говорождкнных) | yaSucced: комплект для новорожденных | spellerFail: клмплект длч новорожденный
(комплект для новорожденных -> уомплккт жля новорлжденнфх) | yaSucced: комплект для новорожденных | spellerFail: комплект для новоржденных
(комплект для новорожденных -> комплееь лля еоыорожденных) | yaSucced: комплект для новорожденных | spellerFail: комплекс для новорожденный
(весы кухонные электронные настольные -> весв кцхонеые хлектррнные еастольнве) | yaSucced: весы кухонные электронные настольные | spellerFail: весы кухоные электорнные настольный
(весы кухонные электронные настольные -> аесы кузонеые элеетроннык настодьнын) | yaSucced: весы кухонные электронные настольные | spellerFail: весы кухоные электронный настольный
(сумка хозяйственная складная текстильная -> суикп хозяфственнач скоаднвя ьекчтильная) | yaSucced: сумка хозяйственная складная текстильная | spellerFail: суика хозяственная складной актильная
(сумка хозяйственная складная текстильная -> сумуп хозяйсьвннная склпднвя текстмлбная) | yaSucced: сумка хозяйственная складная текстильная | spellerFail: бумуп хозяственная складной текстилина
(творческий набор -> таоряеский наьлр) | yaSucced: творческий набор | spellerFail: творческий наьор
(творческий набор -> таорчечкий нвюор) | yaSucced: творческий набор | spellerFail: творческий нвбор
(творческий набор -> творяесеий наьлр) | yaSucced: творческий набор | spellerFail: творческий наьор
(кит -> еит) | yaSucced: кит | spellerFail: ит
(беспроводная оптическая мышь -> беспровлднвя оптичксквя мвшь) | yaSucced: беспроводная оптическая мышь | spellerFail: беспроводня оптический мышь
(беспроводная оптическая мышь -> беспровлжная оптмчесеая мышт) | yaSucced: беспроводная оптическая мышь | spellerFail: безпроводная отическая мышь
(беспроводная оптическая мышь -> юеспровожная опитческая мышб) | yaSucced: беспроводная оптическая мышь | spellerFail: безпроводная отическая мышь
(коврик -> улврик) | yaSucced: коврик | spellerFail: ульрик
(полотенце уголок -> прлотенцн углдок) | yaSucced: полотенце уголок | spellerFail: полотенцн уголок
(масло горчичное -> самло горчтчнок) | yaSucced: масло горчичное | spellerFail: сало горчично
(масло горчичное -> масол горчичеон) | yaSucced: масло горчичное | spellerFail: масло горчично
(плед покрывало х -> рлед покрфаало х) | yaSucced: плед покрывало х | spellerFail: плед покрфвало х
(набор подставок под стаканы -> набро прдмтавок плд стаеанф) | yaSucced: набор подставок под стаканы | spellerFail: набро прилавок плд стакан
(термометр инфракрасный бесконтактный медицинский градусник электронный для измерения температуры -> ьеомометр инфрпкрвсный бескогтактеый межиуинский гпадусниу электроеныц длф мзмеоения ткмпературф) | yaSucced: термометр инфракрасный бесконтактный медицинский градусник электронный для измерения температуры | spellerFail: термометр инфракрасный бесконтактный медицинский градусник электронный длф измерение температура
(цепочка цепь золотая жемчужина -> уеплчка йепь золоипя жемчужмнп) | yaSucced: цепочка цепь золотая жемчужина | spellerFail: цепочка цепь золотоя жемчужина
(апельсиновые палочки для маникюра -> апелбсиеовые паорчки жля маниуюрв) | yaSucced: апельсиновые палочки для маникюра | spellerFail: апельсиновый пасочки для маникюр
(полотенца банные х -> аолотннца юаннве х) | yaSucced: полотенца банные х | spellerFail: полотенце данные х
(коврик на кухню -> крвпик на ккъню) | yaSucced: коврик на кухню | spellerFail: коврик на ккон
(коврик на кухню -> крврие на ккхею) | yaSucced: коврик на кухню | spellerFail: кврие на кухен
(ошибка -> оштька) | yaSucced: ошибка | spellerFail: штука
(пена для бритья -> пенп длф юриття) | yaSucced: пена для бритья | spellerFail: пена длф юрист
(пена для бритья -> пнна длч бомтья) | yaSucced: пена для бритья | spellerFail: пена длч бояться
(пена для бритья -> пнна длч юритьф) | yaSucced: пена для бритья | spellerFail: пена длч бритье
(держатель для очков -> деожптель лля рчеов) | yaSucced: держатель для очков | spellerFail: держатель для рылов
(игровые коврики -> мгроыые урврики) | yaSucced: игровые коврики | spellerFail: шаровые заврики
(х упаковок -> х урпковок) | yaSucced: х упаковок | spellerFail: х уупаковок
(х упаковок -> х уппуовок) | yaSucced: х упаковок | spellerFail: х упаковк
(светодиодный светильник -> светожмодный светилтеик) | yaSucced: светодиодный светильник | spellerFail: светодиодный светилтник
(год быка -> шод ьыка) | yaSucced: год быка | spellerFail: под елка
(год быка -> нод бфка) | yaSucced: год быка | spellerFail: нод бика
(фрукты с шампанским -> фрккиы с шампаечким) | yaSucced: фрукты с шампанским | spellerFail: фркуты с шампанских
(мартини -> маотинм) | yaSucced: мартини | spellerFail: мартин
(английский язык пластиковый коврик для мыши -> английсетй язфк аласьиковый клвриу жля сыши) | yaSucced: английский язык пластиковый коврик для мыши | spellerFail: английский язык пластиковый коврик для сыш
(английский язык пластиковый коврик для мыши -> англтйсеий язые пдасииковый коармк длч мфши) | yaSucced: английский язык пластиковый коврик для мыши | spellerFail: английский язык пластиковый коврик длч мфи
(сыворотка для лица с коллагеном -> сыыорртка жля лицп с кодлагенрм) | yaSucced: сыворотка для лица с коллагеном | spellerFail: сыворотка для лицо с колагеном
(ежедневник многофункциональный -> ежелневниу многлфункцмональный) | yaSucced: ежедневник многофункциональный | spellerFail: ежелневник многофункциональный
(стул -> стцл) | yaSucced: стул | spellerFail: стол
(светодиодная система -> светрдирдная сисьемв) | yaSucced: светодиодная система | spellerFail: светдиодная система
(щетки -> щеикт) | yaSucced: щетки | spellerFail: щетка
(в виде схем и таблиц -> в втде схкм и ьаблмц) | yaSucced: в виде схем и таблиц | spellerFail: в отде скм и палец
(в виде схем и таблиц -> в ыиде схкм и тпблиу) | yaSucced: в виде схем и таблиц | spellerFail: в дите скм и таблич
(маска для лица -> масуп ддя лиуа) | yaSucced: маска для лица | spellerFail: маска для липа
(маска для лица -> мвсуа длф дица) | yaSucced: маска для лица | spellerFail: маска длф дица
(пена для ванны -> пенв длф авнны) | yaSucced: пена для ванны | spellerFail: пена длф ванна
(золотые монеты -> зооотык млнеиы) | yaSucced: золотые монеты | spellerFail: зототые мление
(мыло косметическое для лица для кожи -> мвло косметичкскон лля лийа ддя коэи) | yaSucced: мыло косметическое для лица для кожи | spellerFail: мыло косметичекское для липа для кои
(мыло косметическое для лица для кожи -> мылл уоссетическое длч лицп ддя кожт) | yaSucced: мыло косметическое для лица для кожи | spellerFail: мыло коетическое длч лицо для кожа
(мыло косметическое для лица для кожи -> мвло еосметическок длч лтца жля клжи) | yaSucced: мыло косметическое для лица для кожи | spellerFail: мыло косметический длч лта для кижи
(мыло косметическое для лица для кожи -> мыдо косметияескре жля лийа длч кржи) | yaSucced: мыло косметическое для лица для кожи | spellerFail: мыло косметиеское для липа длч кижи
(мыло ручной работы -> иыло рцчеой раюрты) | yaSucced: мыло ручной работы | spellerFail: мыло ручной рюты
(грецкий орех в скорлупе -> гркцеий опех в скоолупк) | yaSucced: грецкий орех в скорлупе | spellerFail: грецкий орех в скорлупа
(воротнички парикмахерские одноразовые в рулоне штук -> воротеичкм пврикмахерскин рднлразовые в руоонк штуу) | yaSucced: воротнички парикмахерские одноразовые в рулоне штук | spellerFail: воротничек парикмахерский одноразовый в рулон штуп
(лечебная клипса для выравнивания носа -> лнчебеая клиасп жля аыравниванмя нрса) | yaSucced: лечебная клипса для выравнивания носа | spellerFail: лшебная клипс для выравнивание ниса
(верхние формы -> аерхнме фрпмы) | yaSucced: верхние формы | spellerFail: верхне фрипсы
(ободок для волос женский из искусственного жемчуга -> рбодоу ддя воолс жнеский из искусственерго экмчуга) | yaSucced: ободок для волос женский из искусственного жемчуга | spellerFail: ободок для волос женский из искусственно жемчуг
(металлическая машинка -> иеталлияеская ившинка) | yaSucced: металлическая машинка | spellerFail: металливеская машинка
(металлическая машинка -> металоическпя иаштнка) | yaSucced: металлическая машинка | spellerFail: металическая маштнка
(кувшин для питья -> куышмн длф пиитя) | yaSucced: кувшин для питья | spellerFail: кувшин длф плита
(кувшин для питья -> ецвшин жля пиьтя) | yaSucced: кувшин для питья | spellerFail: кувшин для пить
(ваза для фруктов стеклянная -> ааза длч фрукьлв мтекоянная) | yaSucced: ваза для фруктов стеклянная | spellerFail: ваза длч фруков стекляная
(вешалки -> вешвлуи) | yaSucced: вешалки | spellerFail: вешелки
(сигнализация автомобильная -> сигнализацтч автомобтлбная) | yaSucced: сигнализация автомобильная | spellerFail: сигнализация автомобльная
(сигнализация автомобильная -> сигналищациф ввтомобильнаф) | yaSucced: сигнализация автомобильная | spellerFail: сигнализация автомобильна
(сигнализация автомобильная -> синнализацтя автомоюильнпя) | yaSucced: сигнализация автомобильная | spellerFail: сигнализация автомобильный
(сигнализация автомобильная -> стгнаоизация автоиобильнаф) | yaSucced: сигнализация автомобильная | spellerFail: сигнализация автомобильна
(сигнализация автомобильная -> сигнплтзация автомобтлбная) | yaSucced: сигнализация автомобильная | spellerFail: сигнализация автомобльная
(жидкость для генератора дыма -> жиделсть жля гннеоатора двма) | yaSucced: жидкость для генератора дыма | spellerFail: жидкость для генератор дома
(жидкость для генератора дыма -> жидклстб жля гнеератора жыма) | yaSucced: жидкость для генератора дыма | spellerFail: жидкость для генератор дым
(тест -> тесь) | yaSucced: тест | spellerFail: тесь
(крем для тела -> крнм жля ткла) | yaSucced: крем для тела | spellerFail: крем для тула
(крем для тела -> урем лля ьела) | yaSucced: крем для тела | spellerFail: крем для хела
(крем для тела -> кркм длч ткла) | yaSucced: крем для тела | spellerFail: крем длч тула
(чистка ушей -> чиступ угей) | yaSucced: чистка ушей | spellerFail: чистка улей
(чистка ушей -> чиступ цшей) | yaSucced: чистка ушей | spellerFail: чистка цией
(чистка ушей -> чисикп ушеф) | yaSucced: чистка ушей | spellerFail: чистка шеф
(чистка ушей -> чмстеа ушец) | yaSucced: чистка ушей | spellerFail: чистка учет
(массажный коврик акупунктурный -> массвжеый крырик аукпунктурный) | yaSucced: массажный коврик акупунктурный | spellerFail: массажный крысик акупунктурный
(массажный коврик акупунктурный -> свссажный коыртк аккпунктурнфй) | yaSucced: массажный коврик акупунктурный | spellerFail: массажный ковртк акупунктурный
(массажный коврик акупунктурный -> масчпжный коыртк аеупункткрный) | yaSucced: массажный коврик акупунктурный | spellerFail: массажный ковртк акупунктурный
(массажный коврик акупунктурный -> массаднфй еовртк акупункьуоный) | yaSucced: массажный коврик акупунктурный | spellerFail: массажный ковртк акупунктурный
(с кисточкой -> с еисточклй) | yaSucced: с кисточкой | spellerFail: с листочкой
(с кисточкой -> с кммточкой) | yaSucced: с кисточкой | spellerFail: с листочкой
(с кисточкой -> с кистоскрй) | yaSucced: с кисточкой | spellerFail: с китоский
(с кисточкой -> с кисьоской) | yaSucced: с кисточкой | spellerFail: с кислокой
(губка новогодняя для тела -> гкбуа нрвогодняф жля ьела) | yaSucced: губка новогодняя для тела | spellerFail: губка новогодня для хела
(губка новосибирская для тела -> гкбеа новлсибирмкая жля телп) | yaSucced: губка новосибирская для тела | spellerFail: губка новлсибирмкая для тело
(крем -> креи) | yaSucced: крем | spellerFail: креи
(оливковое мыло -> олиыковон мылл) | yaSucced: оливковое мыло | spellerFail: оливково мыло
(оливковое мыло -> оотвковое мыоо) | yaSucced: оливковое мыло | spellerFail: оливково мыло
(оливковое мыло -> оливклаое мыоо) | yaSucced: оливковое мыло | spellerFail: оливкое мыло
(оливковое мыло -> олиыковле мвло) | yaSucced: оливковое мыло | spellerFail: оливковый мыло
(оливковое мыло -> лливкоаое сыло) | yaSucced: оливковое мыло | spellerFail: оливково мыло
(кран пластиковый для бродильных емкостей -> еран рластикоыый лля боожильных емкрсьей) | yaSucced: кран пластиковый для бродильных емкостей | spellerFail: кран пластиковый для бродильный марсей
(кран пластиковый для бродильных емкостей -> еран поасииковый лля брлдиоьных емкрсткй) | yaSucced: кран пластиковый для бродильных емкостей | spellerFail: кран пластиковый для бродильный емкость
(контейнер с губкой -> крнткйнер с губелй) | yaSucced: контейнер с губкой | spellerFail: конткйнер с губной
(привет как дела -> пртает еак деоа) | yaSucced: привет как дела | spellerFail: привет как дева
(привет как дела -> пртыет кау делп) | yaSucced: привет как дела | spellerFail: портрет кау дело
(привет как дела -> привни квк жела) | yaSucced: привет как дела | spellerFail: принт квк жена
(ассам чай -> ачсас чвй) | yaSucced: ассам чай | spellerFail: ачас чай
(тампоны -> ьампонв) | yaSucced: тампоны | spellerFail: тампон
(тампоны -> ьампонв) | yaSucced: тампоны | spellerFail: тампон
(тампоны -> твипоны) | yaSucced: тампоны | spellerFail: тампон
(спец мыло для лица и тела -> чпец мвло длф лтца и теоа) | yaSucced: спец мыло для лица и тела | spellerFail: спец мыло длф лта и тема
(спец мыло для лица и тела -> чпец мфло длф оица и тнла) | yaSucced: спец мыло для лица и тела | spellerFail: спец мыло длф овца и тула
(спец мыло для лица и тела -> спкц сыло длф лицв и ьела) | yaSucced: спец мыло для лица и тела | spellerFail: спец мыло длф лицо и хела
(спец мыло для лица и тела -> саец мылр ддя лиуа и ьела) | yaSucced: спец мыло для лица и тела | spellerFail: спец мыло для липа и хела
(наименование тест тест тест -> намменоыание тесь течт теси) | yaSucced: наименование тест тест тест | spellerFail: наименование тесь тест теси
(наименование тест тест тест -> наименоаанте тесь тнст течт) | yaSucced: наименование тест тест тест | spellerFail: наименование тесь тест тест
(наименование тест тест тест -> намменованин ткст тесь тнст) | yaSucced: наименование тест тест тест | spellerFail: наименование тест тесь тест
(силиконовая смазка -> стлиуоновая сивзка) | yaSucced: силиконовая смазка | spellerFail: селиконовая сивка
(крем с гранатом -> крнм с граептом) | yaSucced: крем с гранатом | spellerFail: крем с раптор
(крем с гранатом -> крес с грпнвтом) | yaSucced: крем с гранатом | spellerFail: крес с гринпром
(тент автомобильный -> ткнт автоиобмльный) | yaSucced: тент автомобильный | spellerFail: тент автомобмльный
(тент автомобильный -> иент автомльильный) | yaSucced: тент автомобильный | spellerFail: дент автомобильный
(маски из водорослей -> мпсуи из врдопослей) | yaSucced: маски из водорослей | spellerFail: мюсли из водорослеи
(маска из водорослей -> мпсеа из воллрослей) | yaSucced: маска из водорослей | spellerFail: мпса из водрослей
(маска из водорослей -> мвсуа из водлррслей) | yaSucced: маска из водорослей | spellerFail: маска из водрослей
