(word -> error) | yaSucced: *word* | spellerFail: *spellerSuggest*
(нож с -> ноэ с) | yaSucced: нож с | spellerFail: ноэ с
(подставка для электроник -> подстпака лля эдектррник) | yaSucced: подставка для электроник | spellerFail: подстаака для электроник
(отпариватель -> отпармввтель) | yaSucced: отпариватель | spellerFail: отпариввтель
(блокнот для творчество -> блокнри длф творчкмтво) | yaSucced: блокнот для творчество | spellerFail: блокнот длф творчество
(каша -> уаша) | yaSucced: каша | spellerFail: маша
(набор бит -> наюлр бмт) | yaSucced: набор бит | spellerFail: набор бат
(набор бит -> нпбоо биь) | yaSucced: набор бит | spellerFail: нпбор био
(набор бит -> наьлр биь) | yaSucced: набор бит | spellerFail: наьор био
(подушка для новорожденный -> прдушуа ддя новорожженнвй) | yaSucced: подушка для новорожденный | spellerFail: пердушка для новорожденный
(комплект для новорожденный -> комрлнкт длч новлрожденнфй) | yaSucced: комплект для новорожденный | spellerFail: комплнкт длч новорожденный
(комплект для новорожденный -> еоиплект лля новрпожденный) | yaSucced: комплект для новорожденный | spellerFail: коиплект для новорожденный
(комплект для новорожденный -> клмплккт длч говорождкнный) | yaSucced: комплект для новорожденный | spellerFail: клмплект длч новорожденный
(комплект для новорожденный -> комплееь лля еоыорожденный) | yaSucced: комплект для новорожденный | spellerFail: комплекс для новорожденный
(творческий набор -> таоряеский наьлр) | yaSucced: творческий набор | spellerFail: творческий наьор
(творческий набор -> таорчечкий нвюор) | yaSucced: творческий набор | spellerFail: творческий нвбор
(творческий набор -> творяесеий наьлр) | yaSucced: творческий набор | spellerFail: творческий наьор
(кит -> еит) | yaSucced: кит | spellerFail: ит
(коврик -> улврик) | yaSucced: коврик | spellerFail: ульрик
(полотенце уголок -> прлотенцн углдок) | yaSucced: полотенце уголок | spellerFail: полотенцн уголок
(плед покрывало х -> рлед покрфаало х) | yaSucced: плед покрывало х | spellerFail: плед покрфвало х
(ошибка -> оштька) | yaSucced: ошибка | spellerFail: штука
(светодиодный светильник -> светожмодный светилтеик) | yaSucced: светодиодный светильник | spellerFail: светодиодный светилтник
(мартини -> маотинм) | yaSucced: мартини | spellerFail: мартин
(ежедневник многофункциональный -> ежелневниу многлфункцмональный) | yaSucced: ежедневник многофункциональный | spellerFail: ежелневник многофункциональный
(стул -> стцл) | yaSucced: стул | spellerFail: стол
(лечебный клипса для выравнивание нога -> лнчебеый клиасп жля аыравниванме нрга) | yaSucced: лечебный клипса для выравнивание нога | spellerFail: лечебный клипс для выравнивание нога
(кувшин для пить -> куышмн длф пиьь) | yaSucced: кувшин для пить | spellerFail: кувшин длф пить
(кого сбор гр -> крго сбоо гр) | yaSucced: кого сбор гр | spellerFail: эрго сбор гр
(кого сбор гр -> крго сблр гр) | yaSucced: кого сбор гр | spellerFail: эрго сбор гр
(кого сбор гр -> уого сьор гр) | yaSucced: кого сбор гр | spellerFail: лого сбор гр
(крем вокруг глаз -> крес вокоцг глвз) | yaSucced: крем вокруг глаз | spellerFail: крес вокруг глаз
(тест -> тесь) | yaSucced: тест | spellerFail: тесь
(крем для тело -> креи длч тедо) | yaSucced: крем для тело | spellerFail: креи длч тело
(массажный коврик акупунктурный -> массажнвц клвоик акупунктцрныц) | yaSucced: массажный коврик акупунктурный | spellerFail: массажнвя коврик акупунктурный
(губка шахтерский супер для тело -> гкбуа шаътеоский суреп жля ьело) | yaSucced: губка шахтерский супер для тело | spellerFail: губка шахтерский скреп для тело
(крем -> креи) | yaSucced: крем | spellerFail: креи
(ассам чай -> асмас яай) | yaSucced: ассам чай | spellerFail: асмат чай
(спец мыло для лицо и тело -> чпец мфло длф оицо и тнло) | yaSucced: спец мыло для лицо и тело | spellerFail: спец мыло длф лицо и тело
(наименование тест тест тест -> натменрвание теси ьест течт) | yaSucced: наименование тест тест тест | spellerFail: наименование теси тест тест
(тент автомобильный -> ьент пвтомлбильный) | yaSucced: тент автомобильный | spellerFail: дент автомобильный
(спам -> чпам) | yaSucced: спам | spellerFail: пам
(спам -> спвм) | yaSucced: спам | spellerFail: спм
(косметический набор -> косметичесумй наьлр) | yaSucced: косметический набор | spellerFail: косметический наьор
(косметический набор -> косиеиический евбор) | yaSucced: косметический набор | spellerFail: косметический нвбор
(кекс -> кеус) | yaSucced: кекс | spellerFail: кейс
(кекс -> кеес) | yaSucced: кекс | spellerFail: кейс
(набор для уход за лицо -> набро длч ухлд за дицо) | yaSucced: набор для уход за лицо | spellerFail: набро длч уход за дицо
(свет -> чвет) | yaSucced: свет | spellerFail: цвет
(поп корн -> поа клрн) | yaSucced: поп корн | spellerFail: по клен
(деревянный штык нож -> депевяннфй гтык нод) | yaSucced: деревянный штык нож | spellerFail: деревянный штык нод
(крем тест -> кпем теси) | yaSucced: крем тест | spellerFail: крем теси
(крем тест -> креи тнст) | yaSucced: крем тест | spellerFail: креи тест
(чехол для лыжа -> чнхоо жля лыэа) | yaSucced: чехол для лыжа | spellerFail: чнхол для лыжа
(чехол для лыжа -> яехрл длч лыэа) | yaSucced: чехол для лыжа | spellerFail: чехол длч лыжа
(подставка под горячее -> прдчтавка прд горяяке) | yaSucced: подставка под горячее | spellerFail: прдставка под горячее
(робот игрушка конструктор для мальчик -> роьрт игркшеа коеструктоп жля иальчмк) | yaSucced: робот игрушка конструктор для мальчик | spellerFail: торт игркшка конструктор для мальчик
(гель детский для душа -> гелт дктсеий длч жуша) | yaSucced: гель детский для душа | spellerFail: гелт детский длч суша
(консультация и тренинг -> консультпцтя и трентег) | yaSucced: консультация и тренинг | spellerFail: консультация и тренер
(возбуждающий гель -> ыозбуждающтй гедь) | yaSucced: возбуждающий гель | spellerFail: возбуждающий гедь
(возбуждающий гель -> возбуэдающмй гелт) | yaSucced: возбуждающий гель | spellerFail: возбуждающий гелт
(чайник мл -> чайетк мл) | yaSucced: чайник мл | spellerFail: пайетк мл
(тейп спортивный -> тейа сплртивнфй) | yaSucced: тейп спортивный | spellerFail: тейа спортивный
(карта -> кприа) | yaSucced: карта | spellerFail: криа
(банан сушеный -> бпеан скшееый) | yaSucced: банан сушеный | spellerFail: бпан сушеный
(привет -> пртыет) | yaSucced: привет | spellerFail: портрет
(привет -> поивнт) | yaSucced: привет | spellerFail: поинт
(шапочка для мелирование -> шапляка длч мелироывние) | yaSucced: шапочка для мелирование | spellerFail: шапка длч мелирование
(тень тень красный -> тннь тегь урвсный) | yaSucced: тень тень красный | spellerFail: тень тень крвсный
(карта -> кприа) | yaSucced: карта | spellerFail: криа
(карта -> еврта) | yaSucced: карта | spellerFail: верта
