(word -> error) | yaSucced: *word* | spellerFail: *spellerSuggest*
(нет в продаже -> неь в ппрдаже) | yaSucced: нет в продаже | spellerFail: не в продаже
(крем для ног -> крнм жля гог) | yaSucced: крем для ног | spellerFail: крем для гог
(крем для ног -> кркм доя гог) | yaSucced: крем для ног | spellerFail: крем доя гог
(крем для ног -> крес ддя нош) | yaSucced: крем для ног | spellerFail: крес для ног
(машинки -> иашинкм) | yaSucced: машинки | spellerFail: машинка
(ложка для обуви пластик -> лодкв жля обцвт плачттк) | yaSucced: ложка для обуви пластик | spellerFail: лодка для обуви платок
(набор кремов для рук -> гпбор креиоы лля пук) | yaSucced: набор кремов для рук | spellerFail: набор кремов для пук
(термокружка из нержавеющей стали с силиконовой вставкой -> теомокружуа из нерэавнющей сиалм с силмкрновой всьавкоц) | yaSucced: термокружка из нержавеющей стали с силиконовой вставкой | spellerFail: термокружка из нержавеющей силам с силиконовой вставкой
(серьги с якорем -> снртги с яулрем) | yaSucced: серьги с якорем | spellerFail: серьги с рулем
(серьги с якорем -> снпьги с якрпем) | yaSucced: серьги с якорем | spellerFail: серьги с крем
(деревянные счеты калькулятор из цельного дерева -> депнвянные ччкты кальуулятлр из цкоьного дерквп) | yaSucced: деревянные счеты калькулятор из цельного дерева | spellerFail: деревянные счёты калькулятор из цельного дерева
(деревянные счеты калькулятор из цельного дерева -> дкревфнные счньы кальуулятрр из цкльнрго днрнва) | yaSucced: деревянные счеты калькулятор из цельного дерева | spellerFail: деревянные счёты калькулятор из цельного дерева
(шпильки для волос набор штук -> шаильеи лля врлоч набрп гтук) | yaSucced: шпильки для волос набор штук | spellerFail: шпильки для волос набр штук
(ложка чайная шт -> длжка чпйнпя шт) | yaSucced: ложка чайная шт | spellerFail: дужка чайная шт
(кедровый орех кг -> кндоовый ореъ кг) | yaSucced: кедровый орех кг | spellerFail: кедровый ореъ кг
(ткань подкладочная х м -> ткагт подкдадочнач х м) | yaSucced: ткань подкладочная х м | spellerFail: ткант подкладочная х м
(ткань подкладочная х -> ткпнт аодкладосная х) | yaSucced: ткань подкладочная х | spellerFail: ткант подкладочная х
(брелок бык белый -> бредлк бвк юклый) | yaSucced: брелок бык белый | spellerFail: бредск авк клей
(гирлянда для дома -> гирдянжа жля жома) | yaSucced: гирлянда для дома | spellerFail: гирлянда для жома
(гирлянда для дома -> гиоляндп доя дрма) | yaSucced: гирлянда для дома | spellerFail: гирлянда доя дома
(гирлянда для дома -> гмрлягда жля жома) | yaSucced: гирлянда для дома | spellerFail: герлянда для жома
(брелок бык черный -> брклрк ьык чкрныц) | yaSucced: брелок бык черный | spellerFail: брелок бык черныц
(брелок бык черный -> ьреллк бвк череыц) | yaSucced: брелок бык черный | spellerFail: брелок бык черныц
(маятник -> мафьник) | yaSucced: маятник | spellerFail: сальник
(маятник -> маяинтк) | yaSucced: маятник | spellerFail: машинок
(новогодний набор -> новогожгий наюоп) | yaSucced: новогодний набор | spellerFail: новогодний накоп
(подушка для глаз -> подцшеа доя глах) | yaSucced: подушка для глаз | spellerFail: подушка доя глаз
(чехол на диван трехместный мягкая мебель мебель универсальный на резинке с оборкой -> яехрл на диавн трнхместнфй иягквя мебклб меьнль унивепмальный на резинен с оьлркой) | yaSucced: чехол на диван трехместный мягкая мебель мебель универсальный на резинке с оборкой | spellerFail: чехол на диван трехместный мягкая мебель мебель универсальный на резине с оборкой
(набор юного художника для рисования -> набро бногл художнмкв жля рисоаанмя) | yaSucced: набор юного художника для рисования | spellerFail: набро юного художника для рисования
(рыбий скелет -> рыютй скелнь) | yaSucced: рыбий скелет | spellerFail: рыжий скель
(меч игрушечный -> сеч игрцшечеый) | yaSucced: меч игрушечный | spellerFail: сеч игрушечный
(меч игрушечный -> сеч игпущечный) | yaSucced: меч игрушечный | spellerFail: сеч игрушечный
(модульная картина с часами -> содульеая картмеа с часпии) | yaSucced: модульная картина с часами | spellerFail: модульная картина с части
(одежда для куклы -> одкэда доя ууклф) | yaSucced: одежда для куклы | spellerFail: одежда доя кукла
(одежда для куклы -> рдежжа доя кцкоы) | yaSucced: одежда для куклы | spellerFail: одежда доя куклы
(заколка зажим для волос -> хаеолка зпжии доя врллс) | yaSucced: заколка зажим для волос | spellerFail: заколка зажим доя веллс
(заколка зажим для волос -> закодуа звдим доя воллч) | yaSucced: заколка зажим для волос | spellerFail: заколка зажим доя волос
(плед из шерсти х см -> плеж из шепчти х см) | yaSucced: плед из шерсти х см | spellerFail: плед из шепчи х см
(плед из шерсти х см -> плел из щерчти х см) | yaSucced: плед из шерсти х см | spellerFail: плел из шерсти х см
(плед из шерсти х см -> поед из шнрмти х см) | yaSucced: плед из шерсти х см | spellerFail: под из шерсти х см
(постельное белье евро комплект -> аостелтное белбк еаро комплкки) | yaSucced: постельное белье евро комплект | spellerFail: постельное белок евро комплект
(точилка для косметических карандашей -> тояиока доя космеиическмх капандащей) | yaSucced: точилка для косметических карандашей | spellerFail: точилка доя косметических карандашей
(электронная книга -> электроннвф кнтгп) | yaSucced: электронная книга | spellerFail: электронной книги
(брелок бык белый голова -> ьреоок бфк бкдый гллоаа) | yaSucced: брелок бык белый голова | spellerFail: брелок бфк белый голова
(набор бокалов -> набро юлкалов) | yaSucced: набор бокалов | spellerFail: набро бокалов
(крышка невыкипайка см цвет микс -> коыщка нквыкиппйка см цыет микч) | yaSucced: крышка невыкипайка см цвет микс | spellerFail: крышка нквыкиппйка см цвет микс
(крышка невыкипайка см цвет микс -> урыщка неаыкипайуа см цыет миус) | yaSucced: крышка невыкипайка см цвет микс | spellerFail: крышка неаыкипайуа см цвет микс
(кожаный ремень -> кодагый ремкнт) | yaSucced: кожаный ремень | spellerFail: кожаный ремонт
(блокнот для творчества -> блоеноь доя иворчесьва) | yaSucced: блокнот для творчества | spellerFail: блокнот доя творчества
(бандаж универсальный -> багжаж универмалтный) | yaSucced: бандаж универсальный | spellerFail: багаж универсальный
(бандаж универсальный -> багжаж унивеосалтный) | yaSucced: бандаж универсальный | spellerFail: багаж универсальный
(зимнее пальто -> зммнен падбто) | yaSucced: зимнее пальто | spellerFail: зимнем пальто
(зимнее пальто -> щимнек ппльио) | yaSucced: зимнее пальто | spellerFail: зимнем пальто
(детские влажные салфетки -> жетскин алажнфе салфнтуи) | yaSucced: детские влажные салфетки | spellerFail: женские влажные салфетки
(формочки -> формлчкм) | yaSucced: формочки | spellerFail: формочка
(формочки -> формоскм) | yaSucced: формочки | spellerFail: формочка
(вода питьевая -> вожа питьеаач) | yaSucced: вода питьевая | spellerFail: вожа питьевая
(зеркала -> зеркадв) | yaSucced: зеркала | spellerFail: зеркало
(серьги кольца -> снрьгт кольув) | yaSucced: серьги кольца | spellerFail: серьги кольев
(серьги белый крупный жемчуг -> чербги бедыц кокпный жнмяуг) | yaSucced: серьги белый крупный жемчуг | spellerFail: серьги беды крупный жемчуг
(подгузник -> подшцзник) | yaSucced: подгузник | spellerFail: подшипник
(чай гранулированный черный байховый -> яай гранулиорванный череыц юпйховый) | yaSucced: чай гранулированный черный байховый | spellerFail: чай гранулированный черныц байховый
(подушка для новорожденных -> полушкв длч ноаорожденеых) | yaSucced: подушка для новорожденных | spellerFail: полушка для новорожденных
(стойки и подставки для планшетов -> сиойуи и подстаыеи доя пдангетов) | yaSucced: стойки и подставки для планшетов | spellerFail: стойки и подставки доя планшетов
(стойки и подставки для планшетов -> стойут и подмтввки ддя плвешетов) | yaSucced: стойки и подставки для планшетов | spellerFail: стойка и подставки для планшетов
(комплект для новорожденных -> комплееь лля еоыорожденных) | yaSucced: комплект для новорожденных | spellerFail: комплекс для новорожденных
(расческа продувная -> рпсчкска поодувнач) | yaSucced: расческа продувная | spellerFail: расчёска продувная
(сумка хозяйственная складная текстильная -> муска хозяйствкнеая сеоадная тнкстильнаф) | yaSucced: сумка хозяйственная складная текстильная | spellerFail: маска хозяйственная складная текстильная
(чай габа алишань улун -> чац гаьа адищань удун) | yaSucced: чай габа алишань улун | spellerFail: чай габа диван улун
(чай габа алишань улун -> яай гпба алишает клун) | yaSucced: чай габа алишань улун | spellerFail: чай габа лишает улун
(детский мягкий игровой коврик пазл -> детчктй ичгкий мгровоц урврик разл) | yaSucced: детский мягкий игровой коврик пазл | spellerFail: детский мягкий игровой коврик разл
(детский мягкий игровой коврик пазл -> деьскиц мягумй тгровлй крврие разл) | yaSucced: детский мягкий игровой коврик пазл | spellerFail: детский мягкий игровой коврик разл
(мягкая игрушка капитан америка -> мягеач игпушуа увпитан амеомка) | yaSucced: мягкая игрушка капитан америка | spellerFail: мягка игрушка капитан америка
(проектор диско шар -> проекьрр дичкл шпр) | yaSucced: проектор диско шар | spellerFail: проектор дички шар
(мешок для затирки солода х плотность -> мещлк лля заиипки содлда х плотнлчть) | yaSucced: мешок для затирки солода х плотность | spellerFail: мелк для затирки солода х плотность
(масло горчичное -> самло горчтчнок) | yaSucced: масло горчичное | spellerFail: само горчичное
(видеорегистратор с камерой заднего вида -> видеорегтстратрр с уамерлй залнегр втда) | yaSucced: видеорегистратор с камерой заднего вида | spellerFail: видеорегистратор с камерой заднего вода
(видеорегистратор с камерой заднего вида -> видеорнгтстратор с камепоф хаднешо вмда) | yaSucced: видеорегистратор с камерой заднего вида | spellerFail: видеорегистратор с камерой заднего вода
(набор подставок под стаканы -> набро прдмтавок плд стаеанф) | yaSucced: набор подставок под стаканы | spellerFail: набро подставок под стаканы
(подушка для малышей -> плдушкв жля мвлышеф) | yaSucced: подушка для малышей | spellerFail: подушки для малышей
(подушка для малышей -> прдушеа ддя малыщеф) | yaSucced: подушка для малышей | spellerFail: подушек для малышей
(подушка для малышей -> родушкв доя иплышей) | yaSucced: подушка для малышей | spellerFail: подушка доя малышей
(подушка для малышей -> плдушкв ддя мадышец) | yaSucced: подушка для малышей | spellerFail: подушки для малышей
(подушка для малышей -> аодушкп доя мвлфшей) | yaSucced: подушка для малышей | spellerFail: подушка доя малышей
(для записей с закладкой -> жля хапичей с закладкрф) | yaSucced: для записей с закладкой | spellerFail: для записей с закладка
(для записей с закладкой -> доя запммей с закладулй) | yaSucced: для записей с закладкой | spellerFail: доя записей с закладкой
(крем для лица с муцином улитки -> урем длч лицв с мццинои уоитеи) | yaSucced: крем для лица с муцином улитки | spellerFail: рем для лица с муцином улитки
(гибкий неон удалить -> гиьуий геон ужвлить) | yaSucced: гибкий неон удалить | spellerFail: гибкий неон ужалить
(гибкий неон удалить -> нибкиц геон ужалтть) | yaSucced: гибкий неон удалить | spellerFail: гибкий неон ужалить
(гибкий неон удалить -> гмбкиц нкон ужадить) | yaSucced: гибкий неон удалить | spellerFail: гибкий неон ужалить
(апельсиновые палочки для маникюра -> апелбсиеовые паорчки жля маниуюрв) | yaSucced: апельсиновые палочки для маникюра | spellerFail: апельсиновые парочки для маникюра
(апельсиновые палочки для маникюра -> аредьсиновые паллчуи доя ипникюра) | yaSucced: апельсиновые палочки для маникюра | spellerFail: апельсиновые палочки доя маникюра
(черный быстрая зарядка телефона -> чкрныц бфстрпя зпоядка тноефона) | yaSucced: черный быстрая зарядка телефона | spellerFail: черныц быстрая зарядка телефона
(черный быстрая зарядка телефона -> чепныц бысирвя зврядеа ьелефлна) | yaSucced: черный быстрая зарядка телефона | spellerFail: черныц быстрая зарядка телефона
(пистолет для мыльных пузырей -> пистллнт доя мыльефх пкзырнй) | yaSucced: пистолет для мыльных пузырей | spellerFail: пистолет доя мыльных пузырей
(подушка бамбук х -> аолушка бпибук х) | yaSucced: подушка бамбук х | spellerFail: золушка бамбук х
(когтеточки -> контеточкм) | yaSucced: когтеточки | spellerFail: когтеточка
(резинка для фитнеса -> резинеп лля фитеесп) | yaSucced: резинка для фитнеса | spellerFail: резине для фитнес
(резинка для фитнеса -> пезинкп длч фииннса) | yaSucced: резинка для фитнеса | spellerFail: резинки для фитнеса
(китти -> кттии) | yaSucced: китти | spellerFail: котик
(ошибка -> огмбка) | yaSucced: ошибка | spellerFail: губка
(ошибка -> оштька) | yaSucced: ошибка | spellerFail: штука
(размер свечи см -> рахмео свкчм см) | yaSucced: размер свечи см | spellerFail: размер свеча см
(пена для бритья -> пега доя бпитьч) | yaSucced: пена для бритья | spellerFail: пена доя бритья
(детские ножницы пластиковая ручка розовый -> дниские еожнмцы пластиурвая ркска роховвй) | yaSucced: детские ножницы пластиковая ручка розовый | spellerFail: детские ножницы пластиковая риска розовый
(детские ножницы пластиковая ручка розовый -> летскик ножнтуы пласттуовая пуяка розоывй) | yaSucced: детские ножницы пластиковая ручка розовый | spellerFail: детские ножницы пластиковая пушка розовый
(набор для маникюра и педикюра предметов -> гпбор длч манткюпа и педтуюра аредметрв) | yaSucced: набор для маникюра и педикюра предметов | spellerFail: hабор для маникюра и педикюра предметов
(набор для маникюра и педикюра предметов -> еаюор длч магикюрп и педиеюрв предмеьоа) | yaSucced: набор для маникюра и педикюра предметов | spellerFail: hабор для маникюра и педикюра предметов
(игровые коврики -> игроввк коврмеи) | yaSucced: игровые коврики | spellerFail: игровик коврики
(магнитные нарды настольная мини игра -> иагнитнве нппды нвстольнаф миги тгра) | yaSucced: магнитные нарды настольная мини игра | spellerFail: магнитные нарды настольная миги игра
(магнитные нарды настольная мини игра -> мпгнттные еапды настолбнаф миги мгра) | yaSucced: магнитные нарды настольная мини игра | spellerFail: магнитные нарды настольная миги игра
(х упаковок -> х упаковре) | yaSucced: х упаковок | spellerFail: х упаковке
(х упаковок -> х упаковре) | yaSucced: х упаковок | spellerFail: х упаковке
(мини миксер квик -> ммни микскп увик) | yaSucced: мини миксер квик | spellerFail: мини микс уник
(мини миксер квик -> миги микчеп каик) | yaSucced: мини миксер квик | spellerFail: миги миксер клик
(мини миксер квик -> минм смксер квтк) | yaSucced: мини миксер квик | spellerFail: мини миксер квт
(щипцы для крепления ленточного наращивания -> шипуы жля кркаления лентлчногл нвращиаания) | yaSucced: щипцы для крепления ленточного наращивания | spellerFail: шипы для крепления ленточного наращивания
(щипцы для крепления ленточного наращивания -> шипйы жля кркплнния лентлчногр нпращиыания) | yaSucced: щипцы для крепления ленточного наращивания | spellerFail: шипы для крепления ленточного наращивания
(веселый пони -> вескоый плни) | yaSucced: веселый пони | spellerFail: весёлый пони
(веселый пони -> весклыф понм) | yaSucced: веселый пони | spellerFail: веселые пони
(водка -> вожкв) | yaSucced: водка | spellerFail: ложка
(подушка массажер -> прлушка мамсажкр) | yaSucced: подушка массажер | spellerFail: полушка массажер
(английский язык пластиковый коврик для мыши -> англтйчкий чзык пластиуоыый уовртк доя мфши) | yaSucced: английский язык пластиковый коврик для мыши | spellerFail: английский язык пластиковый коврик доя мыши
(английский алфавит пластиковый коврик для мыши английский язык обучение алфавиту -> английсеиф влфввит поастиковыф еовртк доя мфши английсетй фзык обучееме алфавиьк) | yaSucced: английский алфавит пластиковый коврик для мыши английский язык обучение алфавиту | spellerFail: английский алфавит пластиковый коврик доя мыши английский язык обучение алфавиту
(шторка -> щтореа) | yaSucced: шторка | spellerFail: торта
(антивибрационных подставок для стиральных машин и холодильников квадратный набор из шт -> внтивибрационнвх прдстааок жля чьиральных машме и хододильникоы кважпатный еабоо из шт) | yaSucced: антивибрационных подставок для стиральных машин и холодильников квадратный набор из шт | spellerFail: антивибрационных подставок для стиральных маме и холодильников квадратный набор из шт
(сыворотка для лица с коллагеном -> сывоооткв доя лиуа с клллагееом) | yaSucced: сыворотка для лица с коллагеном | spellerFail: сыворотка доя лица с коллагеном
(шнуровки шнуровка машинка шнуровка для детей деревянные игрушки для детей -> щнуоовки шецровка мпштнка щнуоовка жля жнтей дкревфнные инругки доя детнф) | yaSucced: шнуровки шнуровка машинка шнуровка для детей деревянные игрушки для детей | spellerFail: шнуровки шнуровка машинка шнуровка для антей деревянные игрушки доя детей
(карандаш для кутикулы -> кпрандпш доя ууьикулы) | yaSucced: карандаш для кутикулы | spellerFail: карандаш доя кутикулы
(щетка для удаления шерсти -> знтка ддя удалегич шнрстм) | yaSucced: щетка для удаления шерсти | spellerFail: знака для удаления шерсти
(щетка для удаления шерсти -> шктка лля кдвления шерчии) | yaSucced: щетка для удаления шерсти | spellerFail: шутка для удаления шерсти
(полотенце для животных -> аоллтенце доя живоьнфх) | yaSucced: полотенце для животных | spellerFail: полотенце доя животных
(полотенце для животных -> поллтееце доя эивлтных) | yaSucced: полотенце для животных | spellerFail: полотенце доя животных
(полотенце для животных -> пллоьенце доя жиаотгых) | yaSucced: полотенце для животных | spellerFail: полотенце доя животных
(стул -> стцл) | yaSucced: стул | spellerFail: стол
(фитошампунь с экстрактом алоэ вера мл -> ыитошампкнь с экстпаетом аллэ верп мл) | yaSucced: фитошампунь с экстрактом алоэ вера мл | spellerFail: автошампунь с экстрактом алоэ вера мл
(фитошампунь с экстрактом алоэ вера мл -> фииощампунь с эумтрактом влоэ внра мл) | yaSucced: фитошампунь с экстрактом алоэ вера мл | spellerFail: фииощампунь с экстрактом алоэ вера мл
(фитошампунь с экстрактом алоэ вера мл -> фттогампунь с хкстрпктом аооэ вепа мл) | yaSucced: фитошампунь с экстрактом алоэ вера мл | spellerFail: автошампунь с экстрактом алоэ вера мл
(фитошампунь с экстрактом алоэ вера мл -> фитошамацнь с хкстраутом алож вкра мл) | yaSucced: фитошампунь с экстрактом алоэ вера мл | spellerFail: фитошамацнь с экстрактом алоэ вера мл
(фитошампунь с экстрактом алоэ вера мл -> фттошвмпунь с хкстрвктом адоэ верп мл) | yaSucced: фитошампунь с экстрактом алоэ вера мл | spellerFail: автошампунь с экстрактом алоэ вера мл
(набор цветных асфальтовых мелков -> наьлр цвктныъ всфалттовых медкрв) | yaSucced: набор цветных асфальтовых мелков | spellerFail: набор цветных асфальтовых медков
(пена для ванны -> пенв длф авнны) | yaSucced: пена для ванны | spellerFail: пену для ванны
(пена для ванны -> пкна доя ыаннф) | yaSucced: пена для ванны | spellerFail: пена доя ванны
(золотые монеты -> хооотые срнеты) | yaSucced: золотые монеты | spellerFail: золотые сонеты
(серебряные монеты -> скребрягые слнеты) | yaSucced: серебряные монеты | spellerFail: серебряные сонеты
(серебряные монеты -> сепебпяные соннты) | yaSucced: серебряные монеты | spellerFail: серебряные сонаты
(ошибочный товар -> ошибоянфй ьовао) | yaSucced: ошибочный товар | spellerFail: ошибочный сова
(ошибочный товар -> оштбояный иовпр) | yaSucced: ошибочный товар | spellerFail: отборный ковер
(мыло ручной работы -> мвло ркчеой паботв) | yaSucced: мыло ручной работы | spellerFail: мыло ручной пабов
(корона на зажиме -> коорна на заэисе) | yaSucced: корона на зажиме | spellerFail: корона на записей
(кольцевая светодиодная лампа см -> крльцевач саетодиолная дпмпа см) | yaSucced: кольцевая светодиодная лампа см | spellerFail: кольцевая светодиодная дампа см
(кольцевая светодиодная лампа см -> кольцеввч светолмодная дпмпа см) | yaSucced: кольцевая светодиодная лампа см | spellerFail: кольцевая светодиодная дампа см
(кольцевая светодиодная лампа см -> колтуевая свеиодиоднвя дпмпа см) | yaSucced: кольцевая светодиодная лампа см | spellerFail: кольцевая светодиодная дампа см
(грецкий орех в скорлупе -> нрецктй ореъ в склолупе) | yaSucced: грецкий орех в скорлупе | spellerFail: грецкий ореъ в скорлупе
(грецкий орех в скорлупе -> гпецкиф ореъ в суорлупн) | yaSucced: грецкий орех в скорлупе | spellerFail: грецкий ореъ в скорлупе
(масло амлы -> мвмло пмлы) | yaSucced: масло амлы | spellerFail: масло пилы
(масло амлы -> мпслр амлф) | yaSucced: масло амлы | spellerFail: масло амла
(масло амлы -> иаслр вмлы) | yaSucced: масло амлы | spellerFail: масло вилы
(расческа деревянная массажная с деревянными зубцами -> оасчнска леревянеая мпмсажная с дереаяннымм зубцвии) | yaSucced: расческа деревянная массажная с деревянными зубцами | spellerFail: расчёска деревянная массажная с деревянными зубцами
(ххххххххххххх -> хххххъхххххзх) | yaSucced: ххххххххххххх | spellerFail: хххххъхххххзх
(ххххххххххххх -> ххххххзххххзх) | yaSucced: ххххххххххххх | spellerFail: ххххххзххххзх
(ххххххххххххх -> ххххххххххъзх) | yaSucced: ххххххххххххх | spellerFail: ххххххххххъзх
(ххххххххххххх -> ххзхзхххххххх) | yaSucced: ххххххххххххх | spellerFail: ххзхзхххххххх
(супер пазл -> скпнр пащл) | yaSucced: супер пазл | spellerFail: сквер пазл
(сноуборд сноубординг туризм спорт -> мноуюорд снлубопдинг ткртзм сплри) | yaSucced: сноуборд сноубординг туризм спорт | spellerFail: сноуборд снлубопдинг туризм спири
(домик для ребенка -> доиие доя реьенкп) | yaSucced: домик для ребенка | spellerFail: домик доя ребенка
(подарок подарки на февраля фонарик фонарь аккумуляторный фонарь светодиодный -> аоларок рожарки на ыевралч ыонартк флнпрь аккумуляьорныц ыонарт светодтолный) | yaSucced: подарок подарки на февраля фонарик фонарь аккумуляторный фонарь светодиодный | spellerFail: подарок прожарки на февраля фонарик фонарь аккумуляторный ионарт светодиодный
(набор кист шт -> нвбоо кмст шт) | yaSucced: набор кист шт | spellerFail: набор куст шт
(набор для вышивки корабль -> нпблр доя аышиыки клоабль) | yaSucced: набор для вышивки корабль | spellerFail: набор доя вышивки корабль
(набор для вышивки корабль -> еабоо доя выщтвки кораюдь) | yaSucced: набор для вышивки корабль | spellerFail: набор доя вышивки корабль
(набор для вышивки сердце -> гаюор доя ввгивки сержцн) | yaSucced: набор для вышивки сердце | spellerFail: набор доя вышивки сердце
(набор для вышивки сердце -> наюлр длч авшивки сердйк) | yaSucced: набор для вышивки сердце | spellerFail: набор для вышивки сердюк
(фоху бальзам для тела с ментолом и эвкалиптом -> фохц баоьзвм длч телв с мннтооом и хвкаоиптом) | yaSucced: фоху бальзам для тела с ментолом и эвкалиптом | spellerFail: фото бальзам для тела с ментолом и эвкалиптом
(металлическая машинка -> иеталлияеская ившинка) | yaSucced: металлическая машинка | spellerFail: металлическая ившина
(этого товара не будет -> этлгл ьоваоа не бцдеи) | yaSucced: этого товара не будет | spellerFail: этого товара не боди
(кувшин для питья -> кувгмн доя птьья) | yaSucced: кувшин для питья | spellerFail: кувшин доя перья
(кувшин для питья -> куышие доя пииьф) | yaSucced: кувшин для питья | spellerFail: кувшин доя пить
(ваза для фруктов стеклянная -> ваща доя фруетоа мтеклянгая) | yaSucced: ваза для фруктов стеклянная | spellerFail: ваза доя фруктов стеклянная
(йогурт -> йогцри) | yaSucced: йогурт | spellerFail: йоги
(пупсы с сосками -> рцпсы с соскаит) | yaSucced: пупсы с сосками | spellerFail: чипсы с соска
(кружка бочонок -> кркжуа бочрное) | yaSucced: кружка бочонок | spellerFail: кружка борное
(вешалки -> вешплкм) | yaSucced: вешалки | spellerFail: вешалка
(вешалки -> вешвлкт) | yaSucced: вешалки | spellerFail: вешалка
(набор кружек роза -> нпюор кружке розп) | yaSucced: набор кружек роза | spellerFail: набор кружке розы
(мочалки -> мочадкт) | yaSucced: мочалки | spellerFail: мочалка
(спонж для умывания -> чпогж доя цмывпния) | yaSucced: спонж для умывания | spellerFail: спонж доя умывания
(травяной чай от кашля -> ирааяной чпй от кпшоя) | yaSucced: травяной чай от кашля | spellerFail: травяной чай от кушон
(ззззззззз -> хзззззщзз) | yaSucced: ззззззззз | spellerFail: хзззззщзз
(тест -> течт) | yaSucced: тест | spellerFail: тент
