(word -> error) | yaSucced: *word* | spellerFail: *spellerSuggest*
(народный поставщик -> народеыц почтавщие) | yaSucced: народный поставщик | spellerFail: народец поставщик
(родители и дети -> оодитнли и днти) | yaSucced: родители и дети | spellerFail: родители и анти
(родители и дети -> родитнлм и днти) | yaSucced: родители и дети | spellerFail: родители и анти
(родители и дети -> рллители и детт) | yaSucced: родители и дети | spellerFail: родители и дет
(мода-а -> мода-а) | yaSucced: мода-а | spellerFail: модама
(время спать -> ыпемя чпвть) | yaSucced: время спать | spellerFail: время пить
(ниро -> нтро) | yaSucced: ниро | spellerFail: утро
(ниро -> нирл) | yaSucced: ниро | spellerFail: гирл
(изящная роза -> изящгач роща) | yaSucced: изящная роза | spellerFail: изящная роща
(пышечка -> пфшеска) | yaSucced: пышечка | spellerFail: песка
(первая любовь -> пкрвач лююовт) | yaSucced: первая любовь | spellerFail: первач любовь
(дети в цвете -> дкти в йвнте) | yaSucced: дети в цвете | spellerFail: дети в ленте
(эста -> эчта) | yaSucced: эста | spellerFail: эта
(дива-бум -> дива-бум) | yaSucced: дива-бум | spellerFail: диванам
(дива-бум -> дива-бум) | yaSucced: дива-бум | spellerFail: диванам
(шарлиз -> шпрдиз) | yaSucced: шарлиз | spellerFail: шприц
(шарлиз -> шарлмщ) | yaSucced: шарлиз | spellerFail: шарм
(лето-текс -> лето-текс) | yaSucced: лето-текс | spellerFail: леотекс
(нити-нити -> нити-нити) | yaSucced: нити-нити | spellerFail: инфинити
(нити-нити -> нити-нити) | yaSucced: нити-нити | spellerFail: инфинити
(модный клуб -> иожный клцб) | yaSucced: модный клуб | spellerFail: кожный клуб
(модный клуб -> моднвц улуб) | yaSucced: модный клуб | spellerFail: модниц улун
(буква-с -> буква-с) | yaSucced: буква-с | spellerFail: буква
(наташа -> натагв) | yaSucced: наташа | spellerFail: натали
(наташа -> гпташа) | yaSucced: наташа | spellerFail: гуаша
(норе-а -> норе-а) | yaSucced: норе-а | spellerFail: ореха
(алина-текс -> алина-текс) | yaSucced: алина-текс | spellerFail: альфатекс
(колибри -> колтбои) | yaSucced: колибри | spellerFail: колобок
(трикотаж для дома -> тпикотаэ доя домп) | yaSucced: трикотаж для дома | spellerFail: трикотаж доя дома
(трикотаж для дома -> трмкртаж лля жома) | yaSucced: трикотаж для дома | spellerFail: трикотаж для жома
(мой мир -> иой ммр) | yaSucced: мой мир | spellerFail: иной мир
(франтишка -> фпантищка) | yaSucced: франтишка | spellerFail: пантика
(франтишка -> ырагтишка) | yaSucced: франтишка | spellerFail: братишка
(руся -> оуся) | yaSucced: руся | spellerFail: гуся
(моей крохе -> млей крозк) | yaSucced: моей крохе | spellerFail: клей крок
(ай-джоггеры -> ай-джоггеры) | yaSucced: ай-джоггеры | spellerFail: джоггеры
(шустрая пчелка -> шусьпая пчелеп) | yaSucced: шустрая пчелка | spellerFail: шустрая пчеле
(мехико -> мнхиео) | yaSucced: мехико | spellerFail: мохито
(мехико -> меъикр) | yaSucced: мехико | spellerFail: медик
(три-трикотаж -> три-трикотаж) | yaSucced: три-трикотаж | spellerFail: рикотрикотаж
(три-трикотаж -> три-трикотаж) | yaSucced: три-трикотаж | spellerFail: рикотрикотаж
(шикардос -> шикарлоч) | yaSucced: шикардос | spellerFail: шикарное
(мадам жюли -> мвдас жюди) | yaSucced: мадам жюли | spellerFail: мидас люди
(бинь бинь -> биеь ьинь) | yaSucced: бинь бинь | spellerFail: бить инь
(бинь бинь -> бмнь бинб) | yaSucced: бинь бинь | spellerFail: бань бинт
(бинь бинь -> бигь бинб) | yaSucced: бинь бинь | spellerFail: биг бинт
(детский бум -> лнтский бкм) | yaSucced: детский бум | spellerFail: детский бкм
(эдна -> ждна) | yaSucced: эдна | spellerFail: одна
(большие мужчины -> большмк мкэчины) | yaSucced: большие мужчины | spellerFail: большак мужчины
(ай и эль -> ай и жль) | yaSucced: ай и эль | spellerFail: ай и ель
(ай и эль -> ай и жль) | yaSucced: ай и эль | spellerFail: ай и ель
(брюки спортивные зимние -> юпюки сплртивнын химник) | yaSucced: брюки спортивные зимние | spellerFail: брюки спортивные химик
(я большой -> я ьольгой) | yaSucced: я большой | spellerFail: я фольгой
(костюмер -> уостбмер) | yaSucced: костюмер | spellerFail: ростомер
(леди -> ледт) | yaSucced: леди | spellerFail: лет
(леди -> ледт) | yaSucced: леди | spellerFail: лет
(эль -> жль) | yaSucced: эль | spellerFail: ель
(модный дом -> молнвй жом) | yaSucced: модный дом | spellerFail: молний жом
(наше -> еаше) | yaSucced: наше | spellerFail: саше
(джинсы и ремни -> джиесв и ркмеи) | yaSucced: джинсы и ремни | spellerFail: джинсы и ркмед
(саня -> спня) | yaSucced: саня | spellerFail: соня
(саня -> свня) | yaSucced: саня | spellerFail: соня
(джиа -> дэиа) | yaSucced: джиа | spellerFail: дэта
(золотой гусь -> ходотой гучь) | yaSucced: золотой гусь | spellerFail: ходовой гуль
(золотой гусь -> зодотоц густ) | yaSucced: золотой гусь | spellerFail: золото густ
(дом артель -> дрм аоьель) | yaSucced: дом артель | spellerFail: дом модель
(алекс-м -> алекс-м) | yaSucced: алекс-м | spellerFail: алексей
(ай-кен -> ай-кен) | yaSucced: ай-кен | spellerFail: айфон
(вдвоем -> вдырем) | yaSucced: вдвоем | spellerFail: вырез
(пиро-росс -> пиро-росс) | yaSucced: пиро-росс | spellerFail: прогресс
(тд елена -> тд еденп) | yaSucced: тд елена | spellerFail: тд день
(буриме -> ьуриие) | yaSucced: буриме | spellerFail: курице
(тм лиза -> тм лиха) | yaSucced: тм лиза | spellerFail: тм лиха
(тм лиза -> тм лища) | yaSucced: тм лиза | spellerFail: тм лица
(форменная одежда -> йорменнвя одеэжа) | yaSucced: форменная одежда | spellerFail: форменная одежа
(пышная леди -> пыщнаф лежи) | yaSucced: пышная леди | spellerFail: пышная лежи
(брюки мужские -> бпбки мужсктн) | yaSucced: брюки мужские | spellerFail: бабки мужская
(ок-ай -> ок-ай) | yaSucced: ок-ай | spellerFail: окна
(уста к устам -> устп к учтпм) | yaSucced: уста к устам | spellerFail: устр к учим
(опт-мода -> опт-мода) | yaSucced: опт-мода | spellerFail: ортомода
(брюки домашние -> юрбки ломашнте) | yaSucced: брюки домашние | spellerFail: юбки домашние
(ассоль -> асчолб) | yaSucced: ассоль | spellerFail: столб
(сити - спецодежда -> смти - спецодеэжа) | yaSucced: сити - спецодежда | spellerFail: сити  спецодежда
(саша -> саща) | yaSucced: саша | spellerFail: сада
(саша -> сашп) | yaSucced: саша | spellerFail: саше
(саша -> свша) | yaSucced: саша | spellerFail: сша
(тм ив-каприз -> тм ив-каприз) | yaSucced: тм ив-каприз | spellerFail: тм ивкаприз
(мила -> ммла) | yaSucced: мила | spellerFail: мыла
(мила -> иила) | yaSucced: мила | spellerFail: сила
(мила -> ммла) | yaSucced: мила | spellerFail: мыла
(между нами -> межлк нпми) | yaSucced: между нами | spellerFail: мелк нами
(бонжур -> юонэур) | yaSucced: бонжур | spellerFail: контур
(этноарт -> эиноаот) | yaSucced: этноарт | spellerFail: эноант
(арт-деко -> арт-деко) | yaSucced: арт-деко | spellerFail: артдекор
(ваш стиль от натальи медведевой -> ващ стмлб от еатвльи межведеаой) | yaSucced: ваш стиль от натальи медведевой | spellerFail: ваз столб от натальи медведевой
(своя -> мвоя) | yaSucced: своя | spellerFail: моя
(своя -> саоя) | yaSucced: своя | spellerFail: слоя
(своя -> чвоя) | yaSucced: своя | spellerFail: твоя
(защита и оборона -> зашитв и рборога) | yaSucced: защита и оборона | spellerFail: зашита и дорога
(без бренда -> бкз бреедп) | yaSucced: без бренда | spellerFail: бeз брендa
(без бренда -> бех юренла) | yaSucced: без бренда | spellerFail: без бренла
(без бренда -> бкз ьрендп) | yaSucced: без бренда | spellerFail: бeз брендa
(дашенька -> двщенька) | yaSucced: дашенька | spellerFail: доченька
(брюки для девочки -> боюкм доя деыоски) | yaSucced: брюки для девочки | spellerFail: бокс доя девочки
(персона -> аерсонп) | yaSucced: персона | spellerFail: персон
(удод -> кдод) | yaSucced: удод | spellerFail: код
(удод -> кдод) | yaSucced: удод | spellerFail: код
(удод -> удож) | yaSucced: удод | spellerFail: удо
(дизайн -> дихвйн) | yaSucced: дизайн | spellerFail: диван
(энди -> эндт) | yaSucced: энди | spellerFail: энд
(энди -> эндм) | yaSucced: энди | spellerFail: энд
(энди -> жнди) | yaSucced: энди | spellerFail: инди
(паломница -> аалоиница) | yaSucced: паломница | spellerFail: галошница
(дали -> даои) | yaSucced: дали | spellerFail: дачи
(большие люди -> больштк оюди) | yaSucced: большие люди | spellerFail: большак люди
(светлячок- -> светлячок-) | yaSucced: светлячок- | spellerFail: светлячок
(светлячок- -> светлячок-) | yaSucced: светлячок- | spellerFail: светлячок
(зар-стиль -> зар-стиль) | yaSucced: зар-стиль | spellerFail: артстиль
(танюшка -> ианюшеа) | yaSucced: танюшка | spellerFail: ванюша
(танюшка -> тагюгка) | yaSucced: танюшка | spellerFail: таганка
(танюшка -> тан.щка) | yaSucced: танюшка | spellerFail: танка
(саба -> саьа) | yaSucced: саба | spellerFail: сада
(саба -> саюа) | yaSucced: саба | spellerFail: сада
(штаны -> щианы) | yaSucced: штаны | spellerFail: дианы
(штаны -> щианы) | yaSucced: штаны | spellerFail: дианы
(леди м -> ледт м) | yaSucced: леди м | spellerFail: лет м
(пуховик одеяло -> пуъоыик одеядл) | yaSucced: пуховик одеяло | spellerFail: пуховик одеял
(трикси -> ьоикси) | yaSucced: трикси | spellerFail: фикси
(ма-ва -> ма-ва) | yaSucced: ма-ва | spellerFail: маска
(ма-ва -> ма-ва) | yaSucced: ма-ва | spellerFail: маска
(ма-ва -> ма-ва) | yaSucced: ма-ва | spellerFail: маска
(ма-ва -> ма-ва) | yaSucced: ма-ва | spellerFail: маска
(трикотаж для женщин -> трикртаэ доя жннщтн) | yaSucced: трикотаж для женщин | spellerFail: трикотаж доя женщин
(дюма -> жюма) | yaSucced: дюма | spellerFail: жима
(дюма -> дюиа) | yaSucced: дюма | spellerFail: дюна
(дюма -> дюмв) | yaSucced: дюма | spellerFail: дмв
(дюма -> дбма) | yaSucced: дюма | spellerFail: дома
(дюма -> дюмв) | yaSucced: дюма | spellerFail: дмв
(цеханская -> йехвнская) | yaSucced: цеханская | spellerFail: йеменская
(лидер-торг -> лидер-торг) | yaSucced: лидер-торг | spellerFail: литераторы
(лина -> линв) | yaSucced: лина | spellerFail: линз
(лина -> лмна) | yaSucced: лина | spellerFail: луна
(белка и стрелка -> юелкв и стрелуп) | yaSucced: белка и стрелка | spellerFail: елка и стрелу
(айко -> вйко) | yaSucced: айко | spellerFail: вико
(айко -> пйко) | yaSucced: айко | spellerFail: поко
(кокетка -> кокеиуа) | yaSucced: кокетка | spellerFail: кофеина
(кокетка -> коуеька) | yaSucced: кокетка | spellerFail: кошечка
(чувство -> чувмтвр) | yaSucced: чувство | spellerFail: чувств
(мф-компани -> мф-компани) | yaSucced: мф-компани | spellerFail: компани
(визави -> визввм) | yaSucced: визави | spellerFail: вигвам
(белояр -> юклояр) | yaSucced: белояр | spellerFail: малояр
(гузель баширова -> шузкль юагирова) | yaSucced: гузель баширова | spellerFail: гузель загирова
(триада-а -> триада-а) | yaSucced: триада-а | spellerFail: триада
(наша форма -> наща флрса) | yaSucced: наша форма | spellerFail: наша флиса
(айас -> вйас) | yaSucced: айас | spellerFail: вас
(на базар -> на бахвр) | yaSucced: на базар | spellerFail: на бахор
(одежда для беременных -> лжежда доя бересннных) | yaSucced: одежда для беременных | spellerFail: одежда доя беременных
(соня -> слня) | yaSucced: соня | spellerFail: слоя
(лимонад -> лимонпж) | yaSucced: лимонад | spellerFail: лимон
(фантики -> ыанттки) | yaSucced: фантики | spellerFail: бантики
(фантики -> ыанттки) | yaSucced: фантики | spellerFail: бантики
(киба -> киюа) | yaSucced: киба | spellerFail: киа
(киба -> киьа) | yaSucced: киба | spellerFail: киа
(три сезона -> трт скзонп) | yaSucced: три сезона | spellerFail: арт сезон
(три сезона -> трм снзонв) | yaSucced: три сезона | spellerFail: тм снов
(премьера -> премькрп) | yaSucced: премьера | spellerFail: премьер
(трон-плюс -> трон-плюс) | yaSucced: трон-плюс | spellerFail: тэнплюс
(трон-плюс -> трон-плюс) | yaSucced: трон-плюс | spellerFail: тэнплюс
(трон-плюс -> трон-плюс) | yaSucced: трон-плюс | spellerFail: тэнплюс
(нури -> нцри) | yaSucced: нури | spellerFail: нори
(мир трикотажа -> ммр триеотаэа) | yaSucced: мир трикотажа | spellerFail: мм трикотажа
(реформа -> рефлрса) | yaSucced: реформа | spellerFail: реверса
(захарова -> захаповп) | yaSucced: захарова | spellerFail: захаров
(нет -> неь) | yaSucced: нет | spellerFail: не
(дети -> днти) | yaSucced: дети | spellerFail: анти
(снег -> снен) | yaSucced: снег | spellerFail: стен
(мастер спецодежда -> мачтеп спеуодедда) | yaSucced: мастер спецодежда | spellerFail: мачте спецодежда
(русский сезон -> пучский чещон) | yaSucced: русский сезон | spellerFail: плоский чехол
(русский сезон -> рцссеий скзрн) | yaSucced: русский сезон | spellerFail: русский скарн
(кайф -> еайф) | yaSucced: кайф | spellerFail: лайф
(шп моделька -> шп модедькв) | yaSucced: шп моделька | spellerFail: шп модельки
(элком -> эдклм) | yaSucced: элком | spellerFail: эдем
(дефиле -> лкфиле) | yaSucced: дефиле | spellerFail: филе
(дефиле -> дефмлн) | yaSucced: дефиле | spellerFail: демон
(коробкина -> крробкинп) | yaSucced: коробкина | spellerFail: коробкин
(коробкина -> короькинп) | yaSucced: коробкина | spellerFail: коробкин
(коробкина -> коробктга) | yaSucced: коробкина | spellerFail: коробка
(коробкина -> клроькина) | yaSucced: коробкина | spellerFail: коровкина
(любо дело -> лббо дедо) | yaSucced: любо дело | spellerFail: любо дедо
(лулу -> лцлу) | yaSucced: лулу | spellerFail: лилу
(амина и дети -> вмиеа и детт) | yaSucced: амина и дети | spellerFail: вида и дет
(тема -> теиа) | yaSucced: тема | spellerFail: тела
(брюки -> боюкм) | yaSucced: брюки | spellerFail: бокс
(софи -> соыи) | yaSucced: софи | spellerFail: соли
(торговая марка м -> торноаая иаока м) | yaSucced: торговая марка м | spellerFail: торговая инока м
(брюки с начесом -> боюкт с наяечом) | yaSucced: брюки с начесом | spellerFail: бокс с начесом
(брюки с начесом -> ьоюки с нпяесом) | yaSucced: брюки с начесом | spellerFail: очки с начесом
(юнона -> юеонп) | yaSucced: юнона | spellerFail: неон
(русь -> оусь) | yaSucced: русь | spellerFail: гусь
(медицина с любовью -> межицига с любоыьб) | yaSucced: медицина с любовью | spellerFail: медицина с любовь
(леди - стиль классик -> ледт - ситль ковссик) | yaSucced: леди - стиль классик | spellerFail: лет  стиль коврик
(женский трикотаж -> эегский трмкотпж) | yaSucced: женский трикотаж | spellerFail: детский трикотаж
(муха -> муъа) | yaSucced: муха | spellerFail: мука
(пижама -> пижвиа) | yaSucced: пижама | spellerFail: пива
(пижама -> рмжама) | yaSucced: пижама | spellerFail: мама
(стим -> мтим) | yaSucced: стим | spellerFail: тим
(академия моды -> пуадемия молы) | yaSucced: академия моды | spellerFail: академия молы
(академия моды -> акадкмтя соды) | yaSucced: академия моды | spellerFail: академия соды
(иди ко мне -> идт ко мге) | yaSucced: иди ко мне | spellerFail: идт ко мг
(иди ко мне -> идм ко мее) | yaSucced: иди ко мне | spellerFail: им ко мес
(иди ко мне -> идт ко мнн) | yaSucced: иди ко мне | spellerFail: идт ко мнн
(иди ко мне -> идт ко мнк) | yaSucced: иди ко мне | spellerFail: идт ко мне
(магия камней -> манмя квмгей) | yaSucced: магия камней | spellerFail: мания камней
(викинги -> викмнни) | yaSucced: викинги | spellerFail: винни
(ланфир -> данфмр) | yaSucced: ланфир | spellerFail: санфор
(девушка с сережкой -> днвушкв с снрежеой) | yaSucced: девушка с сережкой | spellerFail: девушка с снежной
(девушка с сережкой -> левкшка с чережклй) | yaSucced: девушка с сережкой | spellerFail: левушка с мережкой
(ежевика -> кжевтка) | yaSucced: ежевика | spellerFail: клетка
(агни -> вгни) | yaSucced: агни | spellerFail: огни
(товар на каждый день -> ьовпр на уажлый дкнь) | yaSucced: товар на каждый день | spellerFail: ковер на каждый день
(товар на каждый день -> тлвао на каждфц дент) | yaSucced: товар на каждый день | spellerFail: товар на каждый дент
(будь прекрасной -> буль прекппсной) | yaSucced: будь прекрасной | spellerFail: буль прекрасной
(будь прекрасной -> буль ппеерасной) | yaSucced: будь прекрасной | spellerFail: буль прекрасной
(леди миледи -> лкди мидели) | yaSucced: леди миледи | spellerFail: леди модели
(этно-арт -> этно-арт) | yaSucced: этно-арт | spellerFail: этноарт
(этно-арт -> этно-арт) | yaSucced: этно-арт | spellerFail: этноарт
(этно-арт -> этно-арт) | yaSucced: этно-арт | spellerFail: этноарт
(этно-арт -> этно-арт) | yaSucced: этно-арт | spellerFail: этноарт
(энергия камня -> эннргмя квмея) | yaSucced: энергия камня | spellerFail: энергия камея
(всегда в тренде -> аснгда в тоендн) | yaSucced: всегда в тренде | spellerFail: всегда в тренд
(польза для здоровья -> аользв доя зжоровбя) | yaSucced: польза для здоровья | spellerFail: польза доя здоровья
(польза для здоровья -> подьзп доя здоповбя) | yaSucced: польза для здоровья | spellerFail: польза доя здоровья
(твой бро -> ьвой брр) | yaSucced: твой бро | spellerFail: твой брр
(шарм и блеск -> шаом и бдкск) | yaSucced: шарм и блеск | spellerFail: шарм и диск
(модные истории -> модеын исьопии) | yaSucced: модные истории | spellerFail: модерн истории
(тип-топ -> тип-топ) | yaSucced: тип-топ | spellerFail: рипстоп
(будь красивой -> буль крачиврй) | yaSucced: будь красивой | spellerFail: буль красивый
(маленькая леди -> малегькаф лежи) | yaSucced: маленькая леди | spellerFail: маленькая лежи
(блеск и шик -> бдемк и шмк) | yaSucced: блеск и шик | spellerFail: блеск и умк
(блеск и шик -> блкчк и шмк) | yaSucced: блеск и шик | spellerFail: блок и умк
(блеск и шик -> ьлкск и щик) | yaSucced: блеск и шик | spellerFail: блеск и ящик
(нет бр -> еет бр) | yaSucced: нет бр | spellerFail: лет бр
(нет бр -> неь бр) | yaSucced: нет бр | spellerFail: не бр
(народные промыслы -> еаоодные апомыслы) | yaSucced: народные промыслы | spellerFail: народные помыслы
(бим-бом игрушки -> бим-бом игпущки) | yaSucced: бим-бом игрушки | spellerFail: нимбом игрушки
(украшения со вкусом -> ккрвшения со вкусри) | yaSucced: украшения со вкусом | spellerFail: украшения со вкусти
(мир разнообразия -> ммр рвзнлобразия) | yaSucced: мир разнообразия | spellerFail: мм разнообразия
(кольцо из бисера -> кольйр из юисерп) | yaSucced: кольцо из бисера | spellerFail: колье из бисер
(кольцо из бисера -> колбйо из юисерв) | yaSucced: кольцо из бисера | spellerFail: колбой из бисер
(кольцо из бисера -> колбцл из бимкра) | yaSucced: кольцо из бисера | spellerFail: кольцо из бимка
(кольца из бисера -> уооьца из ьисерв) | yaSucced: кольца из бисера | spellerFail: кольца из бисер
(мисс кис-кис -> сисс кис-кис) | yaSucced: мисс кис-кис | spellerFail: мисс киспис
(рута -> руиа) | yaSucced: рута | spellerFail: рука
(рута -> ркта) | yaSucced: рута | spellerFail: рта
(рута -> рцта) | yaSucced: рута | spellerFail: рта
(арт-птица -> арт-птица) | yaSucced: арт-птица | spellerFail: антиптиц
(арт-птица -> арт-птица) | yaSucced: арт-птица | spellerFail: антиптиц
(подарки в дом -> аодаруи в длм) | yaSucced: подарки в дом | spellerFail: подарки в для
(подарки в дом -> подвркт в длм) | yaSucced: подарки в дом | spellerFail: подарки в для
(тд карс -> тд уарс) | yaSucced: тд карс | spellerFail: тд барс
(тд карс -> тд еарс) | yaSucced: тд карс | spellerFail: тд барс
(шкатулки -> шеатулкт) | yaSucced: шкатулки | spellerFail: шкатулка
(счастливые люди -> счасьоивые люли) | yaSucced: счастливые люди | spellerFail: счастливые люли
(бюро находок -> ююро находлу) | yaSucced: бюро находок | spellerFail: бюро находу
(умный инвестор -> кмеый инвечьор) | yaSucced: умный инвестор | spellerFail: клей инвертор
(вещицы -> внщиуы) | yaSucced: вещицы | spellerFail: вощины
(вещицы -> вещмйы) | yaSucced: вещицы | spellerFail: вещей
(праздник для всех -> поаздеик доя ысех) | yaSucced: праздник для всех | spellerFail: праздник доя всех
(праздник для всех -> араздние доя вснх) | yaSucced: праздник для всех | spellerFail: праздник доя всех
(глазурь -> глахурт) | yaSucced: глазурь | spellerFail: глазури
(мастерская чердак -> мастерчквя сердвк) | yaSucced: мастерская чердак | spellerFail: мастерская сердюк
(шкатулка - комод -> щкатклка - еомлд) | yaSucced: шкатулка - комод | spellerFail: шкатулка  молд
(миндаль -> миедаоь) | yaSucced: миндаль | spellerFail: медаль
(созидание -> сохилание) | yaSucced: созидание | spellerFail: собирание
(созидание -> чощидание) | yaSucced: созидание | spellerFail: ожидание
(надежда предприятие художественных промыслов -> гпдежда прелпричтие худржесьвенных полмыслов) | yaSucced: надежда предприятие художественных промыслов | spellerFail: надежда предприятие художественных помыслов
(шкатулки детские -> шкатудкт детсеин) | yaSucced: шкатулки детские | spellerFail: шкатулка детский
(е-маркет -> е-маркет) | yaSucced: е-маркет | spellerFail: маркет
(шкатулка с секретом -> шкаьулуа с секретри) | yaSucced: шкатулка с секретом | spellerFail: шкатулка с секретки
(шкатулка с секретом -> щкатулкп с снкретои) | yaSucced: шкатулка с секретом | spellerFail: шкатулка с секретки
(сундучок -> сундуялк) | yaSucced: сундучок | spellerFail: сундук
(райский сад -> рацскмй саж) | yaSucced: райский сад | spellerFail: райский саж
(белый лист -> бкдый дист) | yaSucced: белый лист | spellerFail: белый дист
(белый лист -> ьелфй лимт) | yaSucced: белый лист | spellerFail: целый лист
(посылка от деда мороза -> росвлка от дежа иорозп) | yaSucced: посылка от деда мороза | spellerFail: русалка от дежа мороз
(шкатулка для украшений -> шкатклкп доя ккрашкний) | yaSucced: шкатулка для украшений | spellerFail: шкатулка доя украшений
(сима-ленд -> сима-ленд) | yaSucced: сима-ленд | spellerFail: сималенд
(дом свадьбы -> длм сыадьбв) | yaSucced: дом свадьбы | spellerFail: для свадьба
(дом свадьбы -> жом сыажьбы) | yaSucced: дом свадьбы | spellerFail: жом свадьбы
(зимнее волшебство -> зиснен водшкбство) | yaSucced: зимнее волшебство | spellerFail: тиснен волшебство
(первый сувенирный -> репвый суыенипный) | yaSucced: первый сувенирный | spellerFail: резвый сувенирный
(лидочка -> лтдрчка) | yaSucced: лидочка | spellerFail: лодочка
(лидочка -> дидочкв) | yaSucced: лидочка | spellerFail: дудочка
(свадебный день -> чвадебныф лень) | yaSucced: свадебный день | spellerFail: свадебный лень
(хороший подарок -> ърроший подарлу) | yaSucced: хороший подарок | spellerFail: хороший подарку
(мастерская лира -> мвсткрская лиоа) | yaSucced: мастерская лира | spellerFail: мастерская лица
(домик рукодельницы -> лрмик рукодедьеицы) | yaSucced: домик рукодельницы | spellerFail: люмик рукодельницы
(акцент - центр вашего интерьера -> акйень - цнгтр ыашнго иникрьера) | yaSucced: акцент - центр вашего интерьера | spellerFail: камень  центр манго интерьера
(цветы мира -> цыетф миоа) | yaSucced: цветы мира | spellerFail: цвет мира
(цветы мира -> цвниы иира) | yaSucced: цветы мира | spellerFail: цветы игра
(свадебная мечта -> сыадкбная мнста) | yaSucced: свадебная мечта | spellerFail: свадебная моста
(творческая мастерская русская береста -> творянская мачтерскаф русмквя юереств) | yaSucced: творческая мастерская русская береста | spellerFail: дворянская мастерская русская береста
(русская инициатива -> русскпч иницматиаа) | yaSucced: русская инициатива | spellerFail: русский инициатива
(мужские подарки -> иуэские подвркм) | yaSucced: мужские подарки | spellerFail: русские подарки
(мужские подарки -> сужскик плжарки) | yaSucced: мужские подарки | spellerFail: мужские плавки
(авокадо лайф -> авоеадр лайы) | yaSucced: авокадо лайф | spellerFail: авокадо лайм
(память -> памяьб) | yaSucced: память | spellerFail: памяти
(память -> памяьб) | yaSucced: память | spellerFail: памяти
(крымская мастерская счастье в дом -> крвмсеая мастермкач ссачтье в жом) | yaSucced: крымская мастерская счастье в дом | spellerFail: крымская мастерская счастье в жом
(крымская мастерская счастье в дом -> ерыммкая мачтерсквя ссасиье в длм) | yaSucced: крымская мастерская счастье в дом | spellerFail: крымская мастерская счастье в для
(рамки-о -> рамки-о) | yaSucced: рамки-о | spellerFail: рамки
(креативный дом -> креаттыный длм) | yaSucced: креативный дом | spellerFail: креативный для
(фоторамки -> фотррамкм) | yaSucced: фоторамки | spellerFail: фоторамка
(слова и чувства -> члоаа и чцвствп) | yaSucced: слова и чувства | spellerFail: флора и чувств
(слова и чувства -> слоав и яувствп) | yaSucced: слова и чувства | spellerFail: слова и чувств
(время счастья -> воеия мчастьч) | yaSucced: время счастья | spellerFail: воин часть
(батя в топе -> баья в иопе) | yaSucced: батя в топе | spellerFail: баня в топе
(арт-нн -> арт-нн) | yaSucced: арт-нн | spellerFail: антенн
(арт-нн -> арт-нн) | yaSucced: арт-нн | spellerFail: антенн
(арт-нн -> арт-нн) | yaSucced: арт-нн | spellerFail: антенн
(лавка рукоделия -> даыка оукоделмя) | yaSucced: лавка рукоделия | spellerFail: дакка рукоделия
