(word -> error) | yaSucced: *word* | spellerFail: *spellerSuggest*
(маска для лица -> мвсуа длф дица) | yaSucced: маска для лица | spellerFail: маска для дица
(пена для ванны -> пенв длф авнны) | yaSucced: пена для ванны | spellerFail: пену для ванны
(кувшин для питья -> куышмн длф пиитя) | yaSucced: кувшин для питья | spellerFail: кушон для пиит
(кружка бочонок -> кркжуа бочрное) | yaSucced: кружка бочонок | spellerFail: кружка борное
(тест -> тесь) | yaSucced: тест | spellerFail: тесь
(тест -> течт) | yaSucced: тест | spellerFail: тент
(чистка ушей -> чиступ угей) | yaSucced: чистка ушей | spellerFail: чистую ушей
(чистка ушей -> чиступ цшей) | yaSucced: чистка ушей | spellerFail: чистую ушей
(чистка ушей -> чисикп ушеф) | yaSucced: чистка ушей | spellerFail: чистки ушей
(оливковое мыло -> олиыковон мылл) | yaSucced: оливковое мыло | spellerFail: оливковой мыло
(контейнер с губкой -> крнткйнер с губелй) | yaSucced: контейнер с губкой | spellerFail: контейнер с рублей
(привет как дела -> пртает еак деоа) | yaSucced: привет как дела | spellerFail: питает как дела
(наименование тест тест тест -> намменоыание тесь течт теси) | yaSucced: наименование тест тест тест | spellerFail: наименование тесь тест тест
(наименование тест тест тест -> наименоаанте тесь тнст течт) | yaSucced: наименование тест тест тест | spellerFail: наименование тесь тест тест
(наименование тест тест тест -> намменованин ткст тесь тнст) | yaSucced: наименование тест тест тест | spellerFail: наименование тест тесь тест
(силиконовая смазка -> стлиуоновая сивзка) | yaSucced: силиконовая смазка | spellerFail: силиконовая сивка
(крем с гранатом -> крес с грпнвтом) | yaSucced: крем с гранатом | spellerFail: крес с гранатом
(для лица -> длч лмца) | yaSucced: для лица | spellerFail: дли лица
(для лица -> длф лицв) | yaSucced: для лица | spellerFail: дли лица
(расширяющий набор -> расширчюший набро) | yaSucced: расширяющий набор | spellerFail: расширяющий набро
(масло кокоса -> самло еокосв) | yaSucced: масло кокоса | spellerFail: само кокос
(имя -> ися) | yaSucced: имя | spellerFail: иск
(спам -> мпам) | yaSucced: спам | spellerFail: мрам
(массаж -> мвссаэ) | yaSucced: массаж | spellerFail: масса
(щш -> щш) | yaSucced: щш | spellerFail: пш
(щш -> щш) | yaSucced: щш | spellerFail: пш
(щш -> щш) | yaSucced: щш | spellerFail: пш
(щш -> щш) | yaSucced: щш | spellerFail: пш
(щш -> щш) | yaSucced: щш | spellerFail: пш
(с рожками см см -> с оожкамм см см) | yaSucced: с рожками см см | spellerFail: с ножками см см
(кружка кружка для дома -> уркжка крцэка лля дрма) | yaSucced: кружка кружка для дома | spellerFail: кружка краска для дома
(кекс -> кеес) | yaSucced: кекс | spellerFail: кейс
(кекс -> кеес) | yaSucced: кекс | spellerFail: кейс
(рп -> рп) | yaSucced: рп | spellerFail: уп
(рп -> рп) | yaSucced: рп | spellerFail: уп
(рп -> рп) | yaSucced: рп | spellerFail: уп
(рп -> рп) | yaSucced: рп | spellerFail: уп
(рп -> рп) | yaSucced: рп | spellerFail: уп
(свет -> чвет) | yaSucced: свет | spellerFail: цвет
(поп корн -> поа корг) | yaSucced: поп корн | spellerFail: по корм
(шапка колокольчик с аппликацией -> шпрка еооокольчик с апрликацинй) | yaSucced: шапка колокольчик с аппликацией | spellerFail: шпика колокольчик с аппликацией
(крем тест -> крнм тесь) | yaSucced: крем тест | spellerFail: крем тесь
(стакан для воды мл -> стаупн лля врды мл) | yaSucced: стакан для воды мл | spellerFail: струн для воды мл
(кисти косметические -> умсти комметическин) | yaSucced: кисти косметические | spellerFail: усти косметический
(ошибки -> ошибум) | yaSucced: ошибки | spellerFail: опиум
(мультиинструмент -> мцльтиинстоумент) | yaSucced: мультиинструмент | spellerFail: мцльтиинстоумент
(мультиинструмент -> мцлттиинструмент) | yaSucced: мультиинструмент | spellerFail: мцлттиинструмент
(мультиинструмент -> иультиинструиент) | yaSucced: мультиинструмент | spellerFail: иультиинструиент
(мультиинструмент -> мулььиинструмеет) | yaSucced: мультиинструмент | spellerFail: мулььиинструмеет
(мультиинструмент -> мультиинсьрцмент) | yaSucced: мультиинструмент | spellerFail: мультиинсьрцмент
(семена лука -> мемнна лукп) | yaSucced: семена лука | spellerFail: семена лук
(подставка под горячее -> аодстаыка прд горяяке) | yaSucced: подставка под горячее | spellerFail: подставка под горячке
(подставка под горячее -> подставев аод гооячек) | yaSucced: подставка под горячее | spellerFail: подставе под горячее
(стандартная подушка из латекса -> мтандаотная подкшуа из латеусв) | yaSucced: стандартная подушка из латекса | spellerFail: стандартная подушка из латекс
(стандартная подушка из латекса -> стпндартнпя аодушкп из лаиексп) | yaSucced: стандартная подушка из латекса | spellerFail: стандартная подушка из латекс
(консультации и тренинги -> клнсулттации и трентнгм) | yaSucced: консультации и тренинги | spellerFail: консультации и тренинг
(аргоновое масло для поврежденных волос -> арноговое мпсоо длч повоежленных влллс) | yaSucced: аргоновое масло для поврежденных волос | spellerFail: аргоновое масок для поврежденных волос
(стол подставка для ноутбука для завтраков переносной -> стод подчтавуа длч ноутбуеп длф завьрпков переносерй) | yaSucced: стол подставка для ноутбука для завтраков переносной | spellerFail: стоп подставка для ноутбука для завтраков переносной
(стол подставка для ноутбука для завтраков переносной -> стлл родставеа длч нруьбука жля хавтрауов пкрнносной) | yaSucced: стол подставка для ноутбука для завтраков переносной | spellerFail: стул подставка для ноутбука для завтраков переносной
(карта -> уврта) | yaSucced: карта | spellerFail: увита
(проверка -> провнока) | yaSucced: проверка | spellerFail: провода
(проверка -> провкркв) | yaSucced: проверка | spellerFail: проверки
